선수,연봉(만원),WAR,WAR당 연봉,팀,pid
문성주,4200,3.62,1160,LG 트윈스,13112
채지선,4000,0.19,20766,LG 트윈스,11387
김호은,4000,-0.05,-83065,LG 트윈스,12554
류원석,4000,-,-,LG 트윈스,13251
임준형,4000,-0.32,-12461,LG 트윈스,14142
한석현,3900,-0.10,-40377,LG 트윈스,13250
손주영,3800,0.04,103749,LG 트윈스,12908
이상규,3700,-,-,LG 트윈스,13245
박재욱,3500,0.00,2212599,LG 트윈스,12512
오석주,3500,0.04,81877,LG 트윈스,12860
김영준,3500,0.45,7706,LG 트윈스,13102
손호영,3500,0.34,10427,LG 트윈스,14590
김주성,3300,-,-,LG 트윈스,12545
강정현,3300,-,-,LG 트윈스,14138
최민창,3200,-0.06,-53338,LG 트윈스,11351
김태형,3200,-,-,LG 트윈스,12863
전준호,3200,-,-,LG 트윈스,12864
한선태,3200,-,-,LG 트윈스,14144
이찬혁,3100,-,-,LG 트윈스,12909
임지섭,3000,-,-,LG 트윈스,11211
김기연,3000,0.03,89536,LG 트윈스,12549
이동규,3000,-,-,LG 트윈스,12553
김성협,3000,-,-,LG 트윈스,12911
성동현,3000,-,-,LG 트윈스,13103
최현준,3000,-,-,LG 트윈스,13105
조선명,3000,-,-,LG 트윈스,13106
이강욱,3000,-,-,LG 트윈스,13107
김의준,3000,-,-,LG 트윈스,13108
송찬의,3000,0.52,5809,LG 트윈스,13109
이지강,3000,0.15,19442,LG 트윈스,14143
강효종,3000,0.13,22585,LG 트윈스,14780
조건희,3000,-,-,LG 트윈스,14782
김단우,3000,-,-,LG 트윈스,14841
김유민,3000,-,-,LG 트윈스,14842
김지용,3000,-,-,LG 트윈스,14843
김형욱,3000,-,-,LG 트윈스,14844
송승기,3000,-0.05,-63826,LG 트윈스,14846
조원태,3000,0.16,19108,LG 트윈스,15078
김주완,3000,0.05,57056,LG 트윈스,15079
최용하,3000,-,-,LG 트윈스,15080
이주헌,3000,-,-,LG 트윈스,15081
이지훈,3000,-,-,LG 트윈스,15082
허준혁,3000,-0.08,-36117,LG 트윈스,15083
최원영,3000,-,-,LG 트윈스,15084
김성우,3000,-,-,LG 트윈스,15085
문정빈,3000,-,-,LG 트윈스,15086
양진혁,3000,-,-,LG 트윈스,15087
엄태경,3000,-,-,LG 트윈스,15088
안치홍,100000,2.85,35102,롯데 자이언츠,10014
이대호,80000,3.68,21749,롯데 자이언츠,10251
피터스,60000,1.46,41049,롯데 자이언츠,15009
정훈,55000,-0.04,-1372030,롯데 자이언츠,10253
전준우,50000,1.55,32270,롯데 자이언츠,10266
스파크맨,50000,1.27,39243,롯데 자이언츠,15010
반즈,46000,5.75,7994,롯데 자이언츠,15011
스트레일리,40000,2.46,16246,롯데 자이언츠,14627
렉스,31370,2.94,10676,롯데 자이언츠,15152
김원중,28000,0.65,43184,롯데 자이언츠,10825
박세웅,26000,4.01,6481,롯데 자이언츠,11310
