선수,연봉(만원),WAR,WAR당 연봉,팀,pid,연도,팀연봉순위,전체연봉순위
김동욱,3000,-0.02,-133029,키움 히어로즈,14681,2021,45,773
김동은,3000,-,-,키움 히어로즈,14683,2021,46,774
김시앙,3000,-,-,키움 히어로즈,14851,2021,47,775
양경식,3000,-,-,키움 히어로즈,14853,2021,48,776
이재홍,3000,-,-,키움 히어로즈,14854,2021,49,777
김동혁,3000,0.44,6809,키움 히어로즈,14674,2021,50,778
이주형,3000,0.01,480022,키움 히어로즈,14855,2021,51,779
김현우,3000,-,-,키움 히어로즈,14856,2021,52,780
정재원,3000,-,-,키움 히어로즈,14701,2021,53,781
조범준,3000,-,-,키움 히어로즈,14677,2021,54,782
박관진,3000,-0.03,-109301,키움 히어로즈,14693,2021,55,783
신준우,3000,-0.27,-10946,키움 히어로즈,14695,2021,56,784
박동혁,3000,-,-,키움 히어로즈,14700,2021,57,785
장재영,3000,-0.19,-15834,키움 히어로즈,14784,2021,58,786
김휘집,3000,-0.54,-5605,키움 히어로즈,14785,2021,59,787
정연제,3000,-,-,키움 히어로즈,14850,2021,60,788
김성진,3000,-0.22,-13436,키움 히어로즈,14849,2021,61,789
김준형,3000,0.13,23620,키움 히어로즈,14848,2021,62,790
박승주,3000,0.04,66820,키움 히어로즈,12989,2021,63,791
예진원,3000,0.35,8561,키움 히어로즈,13093,2021,64,792
김수환,3000,-0.02,-147602,키움 히어로즈,13096,2021,65,793
송우현,3000,1.83,1642,키움 히어로즈,11377,2021,66,794
차재용,3000,-,-,키움 히어로즈,11399,2021,67,795
이병규,3000,-,-,키움 히어로즈,12859,2021,68,796
김은성,3000,0.11,28441,키움 히어로즈,12683,2021,69,797
최규보,3000,-,-,키움 히어로즈,12855,2021,70,798
김인범,3000,0.25,12047,키움 히어로즈,14480,2021,71,799
이종민,3000,-0.06,-52070,키움 히어로즈,14576,2021,72,800
김병휘,3000,0.03,105334,키움 히어로즈,14577,2021,73,801
문찬종,3000,-0.14,-22214,키움 히어로즈,14578,2021,74,802
박주홍,3000,-0.15,-19765,키움 히어로즈,14580,2021,75,803
임지열,3000,-0.07,-41225,키움 히어로즈,11225,2021,76,804
박주성,3000,-0.03,-113817,키움 히어로즈,14130,2021,77,805
박준형,3000,-,-,키움 히어로즈,14211,2021,78,806
이명기,3000,0.06,53724,키움 히어로즈,14212,2021,79,807
김신회,3000,-,-,키움 히어로즈,14218,2021,80,808
박성우,2700,-,-,키움 히어로즈,14852,2021,81,823
최재훈,100000,2.06,48459,한화 이글스,10170,2022,1,19
정우람,80000,0.20,395107,한화 이글스,10156,2022,2,27
킹험,70000,0.46,151248,한화 이글스,14582,2022,3,33
터크먼,70000,4.05,17268,한화 이글스,15012,2022,4,34
페냐,40000,1.39,28851,한화 이글스,15146,2022,5,66
카펜터,35000,0.66,53415,한화 이글스,14760,2022,6,74
라미레즈,27500,1.39,19799,한화 이글스,15145,2022,7,101
장시환,21000,0.30,69661,한화 이글스,10453,2022,8,118
하주석,20090,0.97,20752,한화 이글스,10913,2022,9,119
김민우,19100,3.24,5898,한화 이글스,11410,2022,10,126
정은원,19080,2.81,6792,한화 이글스,13137,2022,11,127
강재민,15000,0.27,54799,한화 이글스,14708,2022,12,143
박상원,13300,0.18,74020,한화 이글스,12871,2022,13,158
노수광,12840,1.69,7593,한화 이글스,11268,2022,14,161
노시환,12000,2.07,5811,한화 이글스,14125,2022,15,166
윤대경,9730,-0.46,-21213,한화 이글스,11110,2022,16,204
김범수,9680,0.62,15517,한화 이글스,11411,2022,17,205
김종수,7900,-0.65,-12210,한화 이글스,11117,2022,18,228
장민재,7600,3.15,2416,한화 이글스,10610,2022,19,230
이성곤,6400,0.20,32395,한화 이글스,11206,2022,20,263
윤호솔,6350,-0.05,-123835,한화 이글스,11170,2022,21,266
이해창,6000,-0.28,-21273,한화 이글스,10391,2022,22,269
장진혁,5800,0.61,9446,한화 이글스,12583,2022,23,280
김태연,5600,1.56,3599,한화 이글스,12585,2022,24,286
김재영,5500,-0.48,-11370,한화 이글스,12547,2022,25,287
신정락,5400,-0.28,-19114,한화 이글스,10516,2022,26,295
장운호,5350,0.75,7181,한화 이글스,11122,2022,27,296
주현상,5080,-0.64,-7950,한화 이글스,11415,2022,28,305
이민우,4800,-0.24,-19602,한화 이글스,13003,2022,29,323
송윤준,4100,-0.01,-591925,한화 이글스,10748,2022,30,349
백용환,4000,-0.01,-446476,한화 이글스,10003,2022,31,355
임준섭,4000,0.01,278100,한화 이글스,10795,2022,32,356
김기중,3900,-0.11,-34431,한화 이글스,14808,2022,33,389
이진영,3600,-0.09,-40741,한화 이글스,12539,2022,34,404
임종찬,3600,-0.30,-11987,한화 이글스,14706,2022,35,405
김기탁,3500,-,-,한화 이글스,12875,2022,36,411
박정현,3500,1.46,2399,한화 이글스,14704,2022,37,412
황영국,3400,-,-,한화 이글스,11278,2022,38,429
이도윤,3400,-0.36,-9491,한화 이글스,11414,2022,39,430
허관회,3370,-0.15,-22848,한화 이글스,14204,2022,40,437
류희운,3300,-0.18,-18420,한화 이글스,12655,2022,41,438
이원석,3300,-0.46,-7183,한화 이글스,13138,2022,42,439
유로결,3300,-0.90,-3649,한화 이글스,14126,2022,43,440
남지민,3300,-0.09,-35358,한화 이글스,14619,2022,44,441
강상원,3250,0.00,26752274,한화 이글스,12564,2022,45,464
이충호,3200,-0.05,-64257,한화 이글스,11116,2022,46,465
박상언,3200,0.02,164932,한화 이글스,12587,2022,47,466
김인환,3200,2.42,1323,한화 이글스,12589,2022,48,467
박윤철,3200,0.09,35140,한화 이글스,14129,2022,49,468
장규현,3200,-,-,한화 이글스,14811,2022,50,469
장지승,3200,-,-,한화 이글스,14880,2022,51,470
이승관,3100,-0.02,-124811,한화 이글스,13135,2022,52,502
윤산흠,3100,0.93,3327,한화 이글스,14196,2022,53,503
김건,3100,-,-,한화 이글스,14209,2022,54,504
신지후,3100,-,-,한화 이글스,14620,2022,55,505
송호정,3100,-,-,한화 이글스,14812,2022,56,506
정민규,3100,-0.31,-10055,한화 이글스,14813,2022,57,507
원혁재,3000,-0.42,-7175,한화 이글스,12872,2022,58,536
이성원,3000,-,-,한화 이글스,13140,2022,59,537
김민기,3000,-,-,한화 이글스,13141,2022,60,538
권광민,3000,0.03,103566,한화 이글스,13676,2022,61,539
변우혁,3000,-0.05,-55318,한화 이글스,14124,2022,62,540
정이황,3000,-,-,한화 이글스,14127,2022,63,541
한승주,3000,0.02,133323,한화 이글스,14621,2022,64,542
최이경,3000,-,-,한화 이글스,14715,2022,65,543
조은,3000,-,-,한화 이글스,14810,2022,66,544
김규연,3000,-0.06,-46958,한화 이글스,14871,2022,67,545
문승진,3000,-,-,한화 이글스,14874,2022,68,546
이준기,3000,-,-,한화 이글스,14875,2022,69,547
조현진,3000,-,-,한화 이글스,14877,2022,70,548
안창호,3000,-,-,한화 이글스,14878,2022,71,549
이종완,3000,-,-,한화 이글스,14879,2022,72,550
문동주,3000,0.20,14900,한화 이글스,15013,2022,73,551
박준영,3000,-0.23,-13015,한화 이글스,15014,2022,74,552
허인서,3000,-0.32,-9270,한화 이글스,15015,2022,75,553
유민,3000,-,-,한화 이글스,15016,2022,76,554
양경모,3000,-,-,한화 이글스,15017,2022,77,555
김겸재,3000,-,-,한화 이글스,15018,2022,78,556
이성민,3000,-,-,한화 이글스,15019,2022,79,557
이재민,3000,-0.08,-36636,한화 이글스,15020,2022,80,558
신현수,3000,-,-,한화 이글스,15021,2022,81,559
노석진,3000,-,-,한화 이글스,15022,2022,82,560
민승기,3000,-,-,한화 이글스,15137,2022,83,561
전승우,3000,-,-,한화 이글스,15138,2022,84,562
이상혁,3000,-,-,한화 이글스,15139,2022,85,563
김준석,3000,-,-,한화 이글스,15140,2022,86,564
유상빈,3000,-0.05,-64941,한화 이글스,15141,2022,87,565
최현준,3000,-,-,한화 이글스,15142,2022,88,566
오세훈,0,-,-,한화 이글스,14835,2022,89,838
김현수,150000,4.81,31210,LG 트윈스,10187,2022,1,12
켈리,90000,5.18,17370,LG 트윈스,13934,2022,2,24
오지환,60000,6.99,8585,LG 트윈스,10475,2022,3,41
박해민,60000,6.52,9207,LG 트윈스,11190,2022,4,42
루이즈,60000,-0.22,-269895,LG 트윈스,15002,2022,5,43
플럿코,50000,5.18,9655,LG 트윈스,15003,2022,6,54
홍창기,32000,4.00,7996,LG 트윈스,12546,2022,7,77
진해수,30000,1.05,28504,LG 트윈스,10075,2022,8,82
차우찬,30000,-,-,LG 트윈스,10381,2022,9,83
채은성,28000,2.06,13581,LG 트윈스,11215,2022,10,95
정우영,28000,0.84,33476,LG 트윈스,14136,2022,11,96
유강남,27000,3.45,7817,LG 트윈스,10753,2022,12,103
고우석,27000,2.61,10351,LG 트윈스,12907,2022,13,104
서건창,26000,-0.05,-483197,LG 트윈스,10855,2022,14,107
임찬규,20000,0.67,29679,LG 트윈스,10652,2022,15,120
김민성,18000,-0.44,-40562,LG 트윈스,10238,2022,16,132
가르시아,18000,0.29,61724,LG 트윈스,15150,2022,17,133
송은범,15000,0.31,48216,LG 트윈스,10137,2022,18,144
이정용,14000,0.21,68163,LG 트윈스,14134,2022,19,153
김대유,12500,1.23,10179,LG 트윈스,10706,2022,20,162
함덕주,12000,0.34,35784,LG 트윈스,11094,2022,21,167
이형종,12000,0.34,35508,LG 트윈스,12516,2022,22,168
최성훈,10500,0.60,17363,LG 트윈스,10851,2022,23,185
허도환,10000,-0.06,-155806,LG 트윈스,10684,2022,24,191
이천웅,10000,-0.06,-175100,LG 트윈스,10935,2022,25,192
김진성,10000,0.83,12072,LG 트윈스,11166,2022,26,193
이민호,9800,0.25,39609,LG 트윈스,14589,2022,27,203
이상호,8500,-0.13,-64334,LG 트윈스,11147,2022,28,215
정주현,8000,-,-,LG 트윈스,10480,2022,29,225
구본혁,7000,-,-,LG 트윈스,14140,2022,30,235
김윤식,7000,2.64,2648,LG 트윈스,14588,2022,31,236
문보경,6800,4.93,1380,LG 트윈스,14137,2022,32,246
최동환,6000,0.20,29560,LG 트윈스,10535,2022,33,270
안익훈,5500,-0.04,-146251,LG 트윈스,11347,2022,34,288
이영빈,5500,0.13,41155,LG 트윈스,14783,2022,35,289
이재원,5200,1.62,3205,LG 트윈스,13104,2022,36,303
임정우,5000,-,-,LG 트윈스,10713,2022,37,306
이우찬,5000,1.11,4487,LG 트윈스,10749,2022,38,307
배재준,5000,0.79,6306,LG 트윈스,12697,2022,39,308
백승현,5000,-0.33,-15290,LG 트윈스,13009,2022,40,309
신민재,5000,0.06,83306,LG 트윈스,13056,2022,41,310
문성주,4200,3.62,1160,LG 트윈스,13112,2022,42,343
채지선,4000,0.19,20766,LG 트윈스,11387,2022,43,357
김호은,4000,-0.05,-83065,LG 트윈스,12554,2022,44,358
류원석,4000,-,-,LG 트윈스,13251,2022,45,359
임준형,4000,-0.32,-12461,LG 트윈스,14142,2022,46,360
한석현,3900,-0.10,-40377,LG 트윈스,13250,2022,47,390
손주영,3800,0.04,103749,LG 트윈스,12908,2022,48,393
이상규,3700,-,-,LG 트윈스,13245,2022,49,399
박재욱,3500,0.00,2212599,LG 트윈스,12512,2022,50,413
오석주,3500,0.04,81877,LG 트윈스,12860,2022,51,414
김영준,3500,0.45,7706,LG 트윈스,13102,2022,52,415
손호영,3500,0.34,10427,LG 트윈스,14590,2022,53,416
김주성,3300,-,-,LG 트윈스,12545,2022,54,442
강정현,3300,-,-,LG 트윈스,14138,2022,55,443
최민창,3200,-0.06,-53338,LG 트윈스,11351,2022,56,471
김태형,3200,-,-,LG 트윈스,12863,2022,57,472
전준호,3200,-,-,LG 트윈스,12864,2022,58,473
한선태,3200,-,-,LG 트윈스,14144,2022,59,474
이찬혁,3100,-,-,LG 트윈스,12909,2022,60,508
임지섭,3000,-,-,LG 트윈스,11211,2022,61,567
김기연,3000,0.03,89536,LG 트윈스,12549,2022,62,568
이동규,3000,-,-,LG 트윈스,12553,2022,63,569
김성협,3000,-,-,LG 트윈스,12911,2022,64,570
성동현,3000,-,-,LG 트윈스,13103,2022,65,571
최현준,3000,-,-,LG 트윈스,13105,2022,66,572
조선명,3000,-,-,LG 트윈스,13106,2022,67,573
이강욱,3000,-,-,LG 트윈스,13107,2022,68,574
김의준,3000,-,-,LG 트윈스,13108,2022,69,575
송찬의,3000,0.52,5809,LG 트윈스,13109,2022,70,576
이지강,3000,0.15,19442,LG 트윈스,14143,2022,71,577
강효종,3000,0.13,22585,LG 트윈스,14780,2022,72,578
조건희,3000,-,-,LG 트윈스,14782,2022,73,579
김단우,3000,-,-,LG 트윈스,14841,2022,74,580
김유민,3000,-,-,LG 트윈스,14842,2022,75,581
김지용,3000,-,-,LG 트윈스,14843,2022,76,582
김형욱,3000,-,-,LG 트윈스,14844,2022,77,583
송승기,3000,-0.05,-63826,LG 트윈스,14846,2022,78,584
조원태,3000,0.16,19108,LG 트윈스,15078,2022,79,585
김주완,3000,0.05,57056,LG 트윈스,15079,2022,80,586
최용하,3000,-,-,LG 트윈스,15080,2022,81,587
이주헌,3000,-,-,LG 트윈스,15081,2022,82,588
이지훈,3000,-,-,LG 트윈스,15082,2022,83,589
허준혁,3000,-0.08,-36117,LG 트윈스,15083,2022,84,590
최원영,3000,-,-,LG 트윈스,15084,2022,85,591
김성우,3000,-,-,LG 트윈스,15085,2022,86,592
문정빈,3000,-,-,LG 트윈스,15086,2022,87,593
양진혁,3000,-,-,LG 트윈스,15087,2022,88,594
엄태경,3000,-,-,LG 트윈스,15088,2022,89,595
안치홍,100000,2.85,35102,롯데 자이언츠,10014,2022,1,20
이대호,80000,3.68,21749,롯데 자이언츠,10251,2022,2,28
피터스,60000,1.46,41049,롯데 자이언츠,15009,2022,3,44
정훈,55000,-0.04,-1372030,롯데 자이언츠,10253,2022,4,52
전준우,50000,1.55,32270,롯데 자이언츠,10266,2022,5,55
스파크맨,50000,1.27,39243,롯데 자이언츠,15010,2022,6,56
반즈,46000,5.75,7994,롯데 자이언츠,15011,2022,7,61
스트레일리,40000,2.46,16246,롯데 자이언츠,14627,2022,8,67
렉스,31370,2.94,10676,롯데 자이언츠,15152,2022,9,79
김원중,28000,0.65,43184,롯데 자이언츠,10825,2022,10,97
박세웅,26000,4.01,6481,롯데 자이언츠,11310,2022,11,108
구승민,18100,1.92,9448,롯데 자이언츠,11291,2022,12,131
한동희,17200,2.15,8018,롯데 자이언츠,13145,2022,13,139
최준용,10700,1.30,8218,롯데 자이언츠,14624,2022,14,184
문경찬,9000,-0.13,-70097,롯데 자이언츠,11299,2022,15,209
이인복,8500,3.52,2416,롯데 자이언츠,11232,2022,16,216
서준원,8400,1.16,7259,롯데 자이언츠,14159,2022,17,221
강윤구,7300,0.05,152973,롯데 자이언츠,10423,2022,18,234
이학주,7000,-0.62,-11227,롯데 자이언츠,14114,2022,19,237
김대우,6500,-0.07,-89296,롯데 자이언츠,10271,2022,20,250
진명호,6500,-0.09,-73192,롯데 자이언츠,10301,2022,21,251
안중열,6400,-0.19,-33272,롯데 자이언츠,11329,2022,22,264
추재현,6400,-0.23,-28101,롯데 자이언츠,13094,2022,23,265
지시완,6000,0.68,8883,롯데 자이언츠,11413,2022,24,271
김재유,6000,-0.08,-77227,롯데 자이언츠,11483,2022,25,272
나균안,5800,2.76,2098,롯데 자이언츠,12930,2022,26,281
김도규,5700,0.98,5811,롯데 자이언츠,13148,2022,27,284
김민수,5300,0.33,16251,롯데 자이언츠,12931,2022,28,297
이승헌,5300,-0.05,-107438,롯데 자이언츠,13146,2022,29,298
김진욱,5100,0.32,16014,롯데 자이언츠,14792,2022,30,304
신용수,4900,0.88,5582,롯데 자이언츠,14169,2022,31,321
김유영,4800,-0.32,-15139,롯데 자이언츠,11229,2022,32,324
최영환,4700,-0.11,-44137,롯데 자이언츠,11276,2022,33,327
배성근,4200,-0.52,-8024,롯데 자이언츠,13279,2022,34,344
정성종,4100,-0.01,-602710,롯데 자이언츠,13147,2022,35,350
나승엽,4000,-,-,롯데 자이언츠,14797,2022,36,361
고승민,3800,2.05,1855,롯데 자이언츠,14160,2022,37,394
강로한,3600,-0.04,-97358,롯데 자이언츠,11389,2022,38,406
장두성,3500,-0.08,-46178,롯데 자이언츠,13155,2022,39,417
정보근,3400,-0.67,-5112,롯데 자이언츠,13154,2022,40,431
조무근,3300,0.00,-1502123,롯데 자이언츠,11322,2022,41,444
강태율,3300,-0.41,-8027,롯데 자이언츠,11388,2022,42,445
박선우,3300,-,-,롯데 자이언츠,12569,2022,43,446
김주현,3300,-,-,롯데 자이언츠,12570,2022,44,447
최민재,3200,-,-,롯데 자이언츠,13004,2022,45,475
박명현,3200,-,-,롯데 자이언츠,14622,2022,46,476
윤성빈,3100,-,-,롯데 자이언츠,12928,2022,47,509
나원탁,3100,-0.06,-53097,롯데 자이언츠,12935,2022,48,510
김동우,3100,-,-,롯데 자이언츠,13149,2022,49,511
박진,3100,-,-,롯데 자이언츠,14163,2022,50,512
김창훈,3100,0.01,414954,롯데 자이언츠,14793,2022,51,513
송재영,3100,-,-,롯데 자이언츠,14794,2022,52,514
정우준,3100,-,-,롯데 자이언츠,14795,2022,53,515
박승욱,3000,0.18,16611,롯데 자이언츠,10804,2022,54,596
이태오,3000,-,-,롯데 자이언츠,10887,2022,55,597
김강현,3000,-,-,롯데 자이언츠,12699,2022,56,598
이호연,3000,-0.15,-19768,롯데 자이언츠,13151,2022,57,599
최건,3000,-0.08,-37153,롯데 자이언츠,13169,2022,58,600
강민성,3000,-,-,롯데 자이언츠,14161,2022,59,601
김민수,3000,-0.07,-45767,롯데 자이언츠,14168,2022,60,602
이강준,3000,-0.08,-37023,롯데 자이언츠,14601,2022,61,603
김건우,3000,-,-,롯데 자이언츠,14631,2022,62,604
김민기,3000,-0.03,-114999,롯데 자이언츠,14635,2022,63,605
신학진,3000,-,-,롯데 자이언츠,14637,2022,64,606
황성빈,3000,-0.08,-36231,롯데 자이언츠,14642,2022,65,607
정대혁,3000,-,-,롯데 자이언츠,14995,2022,66,608
이민석,3000,-0.19,-15941,롯데 자이언츠,15045,2022,67,609
조세진,3000,-0.61,-4881,롯데 자이언츠,15046,2022,68,610
진승현,3000,-0.11,-27339,롯데 자이언츠,15047,2022,69,611
윤동희,3000,-0.37,-8093,롯데 자이언츠,15048,2022,70,612
김세민,3000,0.01,442279,롯데 자이언츠,15049,2022,71,613
하혜성,3000,-,-,롯데 자이언츠,15050,2022,72,614
한태양,3000,-0.38,-7894,롯데 자이언츠,15051,2022,73,615
엄장윤,3000,-,-,롯데 자이언츠,15052,2022,74,616
김서진,3000,-,-,롯데 자이언츠,15053,2022,75,617
김용완,3000,-,-,롯데 자이언츠,15054,2022,76,618
경우진,3000,-,-,롯데 자이언츠,15133,2022,77,619
김승준,3000,-,-,롯데 자이언츠,15134,2022,78,620
민성우,3000,-,-,롯데 자이언츠,15135,2022,79,621
김동욱,3000,-,-,롯데 자이언츠,15136,2022,80,622
나성범,200000,7.80,25651,KIA 타이거즈,11162,2022,1,5
양현종,100000,3.11,32190,KIA 타이거즈,10058,2022,2,21
최형우,90000,3.30,27292,KIA 타이거즈,10344,2022,3,25
소크라테스,50000,4.54,11004,KIA 타이거즈,14996,2022,4,57
김선빈,45000,3.36,13408,KIA 타이거즈,10008,2022,5,62
놀린,35000,4.34,8065,KIA 타이거즈,14998,2022,6,75
박동원,31000,4.59,6750,KIA 타이거즈,10387,2022,7,80
로니,30000,-0.02,-1757675,KIA 타이거즈,14997,2022,8,84
파노니,30000,2.65,11319,KIA 타이거즈,15147,2022,9,85
장현식,20000,0.77,25821,KIA 타이거즈,11164,2022,10,121
정해영,17000,1.19,14238,KIA 타이거즈,14608,2022,11,140
나지완,15000,-0.02,-896673,KIA 타이거즈,10030,2022,12,145
임기영,14000,2.54,5510,KIA 타이거즈,10909,2022,13,154
박준표,12500,-0.27,-45484,KIA 타이거즈,11070,2022,14,163
박찬호,12000,4.10,2928,KIA 타이거즈,11261,2022,15,169
전상현,11000,0.98,11245,KIA 타이거즈,12537,2022,16,180
류지혁,10500,2.19,4796,KIA 타이거즈,10894,2022,17,186
홍상삼,10000,0.00,3549674,KIA 타이거즈,10230,2022,18,194
이의리,9000,2.36,3814,KIA 타이거즈,14788,2022,19,210
한승택,8500,-0.11,-80152,KIA 타이거즈,11119,2022,20,217
고종욱,7000,0.46,15176,KIA 타이거즈,10659,2022,21,238
강경학,7000,-,-,KIA 타이거즈,10676,2022,22,239
이창진,7000,2.51,2787,KIA 타이거즈,11233,2022,23,240
이준영,6700,1.24,5417,KIA 타이거즈,11303,2022,24,247
황대인,6500,-0.10,-67246,KIA 타이거즈,11306,2022,25,252
윤중현,6500,-0.06,-107879,KIA 타이거즈,13122,2022,26,253
김호령,6000,0.22,27018,KIA 타이거즈,11298,2022,27,273
박진태,6000,-,-,KIA 타이거즈,12913,2022,28,274
한승혁,5300,0.08,64417,KIA 타이거즈,10812,2022,29,299
김규성,4300,-0.27,-16070,KIA 타이거즈,12540,2022,30,341
고영창,4200,0.20,20756,KIA 타이거즈,11068,2022,31,345
이우성,4100,0.14,28556,KIA 타이거즈,11099,2022,32,351
류승현,4000,-0.03,-137242,KIA 타이거즈,12543,2022,33,362
유승철,4000,-0.54,-7449,KIA 타이거즈,12914,2022,34,363
이정훈,4000,-0.10,-41962,KIA 타이거즈,12916,2022,35,364
김현수,4000,0.02,245170,KIA 타이거즈,14162,2022,36,365
김기훈,4000,0.53,7601,KIA 타이거즈,14176,2022,37,366
김재열,3900,-0.32,-12118,KIA 타이거즈,14747,2022,38,391
최정용,3800,-0.41,-9297,KIA 타이거즈,11407,2022,39,395
김유신,3700,-0.10,-37979,KIA 타이거즈,13114,2022,40,400
최정민,3600,-,-,KIA 타이거즈,10808,2022,41,407
서덕원,3600,-,-,KIA 타이거즈,12538,2022,42,408
신범수,3600,-0.07,-54969,KIA 타이거즈,12541,2022,43,409
이승재,3600,0.08,47395,KIA 타이거즈,14787,2022,44,410
이준형,3500,-,-,KIA 타이거즈,10903,2022,45,418
박정우,3500,0.03,113476,KIA 타이거즈,12869,2022,46,419
김도현,3500,-0.12,-28423,KIA 타이거즈,14128,2022,47,420
오선우,3500,-,-,KIA 타이거즈,14181,2022,48,421
박민,3500,0.00,-1434332,KIA 타이거즈,14611,2022,49,422
장민기,3500,-,-,KIA 타이거즈,14789,2022,50,423
김현준,3400,-0.20,-17263,KIA 타이거즈,12533,2022,51,432
남하준,3300,-0.24,-13777,KIA 타이거즈,12535,2022,52,448
김정빈,3200,-0.28,-11254,KIA 타이거즈,11364,2022,53,477
장지수,3200,0.14,23185,KIA 타이거즈,14178,2022,54,478
권혁경,3200,-0.01,-281859,KIA 타이거즈,14790,2022,55,479
김석환,3100,-0.31,-10105,KIA 타이거즈,12917,2022,56,516
오정환,3100,-,-,KIA 타이거즈,13117,2022,57,517
최용준,3100,-,-,KIA 타이거즈,14658,2022,58,518
박건우,3100,-,-,KIA 타이거즈,14786,2022,59,519
임석진,3000,-0.06,-49074,KIA 타이거즈,12612,2022,60,623
강이준,3000,-,-,KIA 타이거즈,12866,2022,61,624
송후섭,3000,-0.01,-229479,KIA 타이거즈,12867,2022,62,625
박수용,3000,-,-,KIA 타이거즈,14182,2022,63,626
김민수,3000,-,-,KIA 타이거즈,14183,2022,64,627
김창용,3000,-,-,KIA 타이거즈,14184,2022,65,628
나용기,3000,-,-,KIA 타이거즈,14186,2022,66,629
김양수,3000,-,-,KIA 타이거즈,14645,2022,67,630
장재혁,3000,0.00,5421181,KIA 타이거즈,14657,2022,68,631
이인한,3000,-,-,KIA 타이거즈,14690,2022,69,632
김선우,3000,0.04,72215,KIA 타이거즈,14822,2022,70,633
이준범,3000,-,-,KIA 타이거즈,14823,2022,71,634
이영재,3000,-,-,KIA 타이거즈,14826,2022,72,635
김도영,3000,2.17,1383,KIA 타이거즈,15056,2022,73,636
최지민,3000,-0.13,-22246,KIA 타이거즈,15057,2022,74,637
윤도현,3000,-,-,KIA 타이거즈,15058,2022,75,638
강병우,3000,-,-,KIA 타이거즈,15059,2022,76,639
김찬민,3000,-,-,KIA 타이거즈,15060,2022,77,640
이성주,3000,-,-,KIA 타이거즈,15061,2022,78,641
백도렬,3000,-,-,KIA 타이거즈,15062,2022,79,642
황동하,3000,-,-,KIA 타이거즈,15063,2022,80,643
한승연,3000,-,-,KIA 타이거즈,15064,2022,81,644
신명승,3000,-,-,KIA 타이거즈,15065,2022,82,645
손진규,3000,-,-,KIA 타이거즈,15066,2022,83,646
옥준호,3000,-,-,KIA 타이거즈,15123,2022,84,647
윤민석,3000,-,-,KIA 타이거즈,15124,2022,85,648
박상준,3000,-,-,KIA 타이거즈,15125,2022,86,649
쿠에바스,80000,0.39,205307,KT 위즈,13942,2022,1,29
데스파이네,70000,2.31,30246,KT 위즈,14602,2022,2,35
라모스,65000,0.39,165857,KT 위즈,15000,2022,3,39
박병호,60000,5.19,11567,KT 위즈,10470,2022,4,45
강백호,55000,-0.12,-464029,KT 위즈,13168,2022,5,53
장성우,50000,3.25,15400,KT 위즈,10235,2022,6,58
알포드,47700,2.43,19664,KT 위즈,15144,2022,7,60
황재균,40000,1.86,21487,KT 위즈,10407,2022,8,68
고영표,30000,5.37,5584,KT 위즈,11308,2022,9,86
주권,29500,1.02,28806,KT 위즈,11323,2022,10,93
박경수,29000,-1.12,-25794,KT 위즈,10469,2022,11,94
김재윤,28000,1.76,15922,KT 위즈,11489,2022,12,98
배제성,27000,1.58,17139,KT 위즈,11394,2022,13,105
배정대,26000,2.97,8746,KT 위즈,11212,2022,14,109
심우준,26000,1.54,16844,KT 위즈,11334,2022,15,110
조용호,24000,3.92,6129,KT 위즈,12943,2022,16,114
벤자민,23100,3.13,7376,KT 위즈,15143,2022,17,115
소형준,20000,4.75,4210,KT 위즈,14600,2022,18,122
박시영,12000,0.21,57362,KT 위즈,10737,2022,19,170
신본기,11500,-0.31,-37162,KT 위즈,10840,2022,20,177
김민수,11500,2.57,4482,KT 위즈,11317,2022,21,178
조현우,9500,0.20,48007,KT 위즈,11316,2022,22,206
김민혁,9000,1.20,7493,KT 위즈,11339,2022,23,211
오윤석,9000,1.78,5043,KT 위즈,11397,2022,24,212
안영명,8500,0.02,360470,KT 위즈,10600,2022,25,218
심재민,8200,0.34,24029,KT 위즈,11311,2022,26,222
송민섭,8100,0.01,958464,KT 위즈,11342,2022,27,223
전유수,8000,-0.15,-54591,KT 위즈,10841,2022,28,226
엄상백,8000,4.17,1918,KT 위즈,11318,2022,29,227
이창재,6700,-0.03,-220848,KT 위즈,11320,2022,30,248
문상철,6600,-0.24,-27871,KT 위즈,11333,2022,31,249
김준태,6500,1.89,3439,KT 위즈,10835,2022,32,254
김민,5500,0.18,30967,KT 위즈,13167,2022,33,290
하준호,5000,-0.19,-26147,KT 위즈,10304,2022,34,311
김병희,4700,-0.45,-10389,KT 위즈,11330,2022,35,328
천성호,4400,-,-,KT 위즈,14606,2022,36,340
권동진,4200,0.13,32034,KT 위즈,14777,2022,37,346
김태훈,4100,-0.15,-28023,KT 위즈,11336,2022,38,352
홍현빈,4000,0.91,4383,KT 위즈,12941,2022,39,367
장준원,3800,0.14,27965,KT 위즈,11214,2022,40,396
이정현,3500,0.08,41416,KT 위즈,12937,2022,41,424
김태오,3400,-0.02,-177761,KT 위즈,12577,2022,42,433
조병욱,3400,-,-,KT 위즈,12939,2022,43,434
이시원,3300,-0.16,-20897,KT 위즈,12526,2022,44,449
안현준,3200,-,-,KT 위즈,11312,2022,45,480
정주후,3200,-,-,KT 위즈,11337,2022,46,481
문상인,3200,-0.09,-34531,KT 위즈,13227,2022,47,482
지명성,3200,0.02,138126,KT 위즈,14775,2022,48,483
김만수,3100,-,-,KT 위즈,12646,2022,49,520
