선수,연봉(만원),WAR,WAR당 연봉,팀,pid,연도,팀연봉순위,전체연봉순위
정우석,3000,-,-,두산 베어스,13078,2021,74,765
백민규,3000,-,-,두산 베어스,12893,2021,75,766
신창희,3000,-,-,두산 베어스,12608,2021,76,767
지윤,3000,-,-,두산 베어스,12891,2021,77,768
장규빈,3000,-,-,두산 베어스,14570,2021,78,769
현도훈,3000,-0.15,-20564,두산 베어스,13271,2021,79,770
김문수,3000,-,-,두산 베어스,14205,2021,80,771
이민혁,3000,-,-,두산 베어스,14174,2021,81,772
박병호,150000,1.02,147005,키움 히어로즈,10470,2021,1,3
요키시,75000,5.58,13453,키움 히어로즈,13940,2021,2,22
이정후,55000,6.75,8147,키움 히어로즈,12906,2021,3,36
프레이타스,55000,-0.76,-72436,키움 히어로즈,14762,2021,4,37
스미스,50000,0.00,-165418310,키움 히어로즈,14754,2021,5,50
브리검,48000,1.67,28770,키움 히어로즈,12992,2021,6,53
크레익,37100,-0.21,-180098,키움 히어로즈,14990,2021,7,63
조상우,33000,0.75,43920,키움 히어로즈,11126,2021,8,65
김상수,30000,0.62,48374,키움 히어로즈,10427,2021,9,82
이지영,30000,1.18,25442,키움 히어로즈,10312,2021,10,83
최원태,29000,1.51,19162,키움 히어로즈,11379,2021,11,85
한현희,29000,1.93,15012,키움 히어로즈,10863,2021,12,86
박동원,23000,3.14,7316,키움 히어로즈,10387,2021,13,103
정찬헌,20000,2.13,9408,키움 히어로즈,10533,2021,14,116
오주원,20000,-0.33,-60823,키움 히어로즈,10445,2021,15,117
김혜성,17000,3.83,4433,키움 히어로즈,12905,2021,16,130
양현,12000,-0.13,-90208,키움 히어로즈,10730,2021,17,165
박준태,11000,-0.11,-101864,키움 히어로즈,11260,2021,18,174
이용규,10000,3.98,2514,키움 히어로즈,10035,2021,19,197
이승호,10000,-0.45,-22357,키움 히어로즈,12865,2021,20,198
김태훈,10000,1.06,9393,키움 히어로즈,10871,2021,21,199
안우진,9000,2.73,3292,키움 히어로즈,13091,2021,22,206
이영준,7500,-,-,키움 히어로즈,12997,2021,23,235
허정협,7000,0.32,21980,키움 히어로즈,11498,2021,24,253
김재현,7000,-0.25,-28018,키움 히어로즈,10870,2021,25,254
