선수,연봉(만원),WAR,WAR당 연봉,팀,pid,연도
오지환,60000.0,5.14,11668,LG 트윈스,10475,2023
박해민,60000.0,4.80,12494,LG 트윈스,11190,2023
고우석,43000.0,0.53,81646,LG 트윈스,12907,2023
정우영,40000.0,-0.74,-54168,LG 트윈스,14136,2023
오스틴,40000.0,5.74,6973,LG 트윈스,15532,2023
최원태,35000.0,3.20,10921,LG 트윈스,11379,2023
박동원,30000.0,2.92,10290,LG 트윈스,10387,2023
홍창기,30000.0,7.91,3793,LG 트윈스,12546,2023
진해수,25000.0,-0.01,-3024251,LG 트윈스,10075,2023
이정용,24000.0,0.87,27693,LG 트윈스,14134,2023
서건창,20000.0,-0.53,-37703,LG 트윈스,10855,2023
김진성,20000.0,2.03,9842,LG 트윈스,11166,2023
김민성,18000.0,1.92,9358,LG 트윈스,10238,2023
임찬규,17000.0,3.40,4999,LG 트윈스,10652,2023
문보경,17000.0,4.45,3822,LG 트윈스,14137,2023
김윤식,15000.0,1.48,10148,LG 트윈스,14588,2023
송은범,14000.0,0.04,390910,LG 트윈스,10137,2023
이민호,14000.0,-0.01,-2750156,LG 트윈스,14589,2023
최성훈,13000.0,-0.18,-73985,LG 트윈스,10851,2023
이우찬,12000.0,0.78,15421,LG 트윈스,10749,2023
최동환,10500.0,0.52,20064,LG 트윈스,10535,2023
허도환,10000.0,-0.58,-17113,LG 트윈스,10684,2023
함덕주,10000.0,2.35,4250,LG 트윈스,11094,2023
김유영,9500.0,-,-,LG 트윈스,11229,2023
문성주,9500.0,4.76,1995,LG 트윈스,13112,2023
윤호솔,8700.0,0.04,248452,LG 트윈스,11170,2023
이재원,8500.0,0.15,57852,LG 트윈스,13104,2023
이천웅,8000.0,0.14,57237,LG 트윈스,10935,2023
배재준,7500.0,-0.02,-316248,LG 트윈스,12697,2023
정주현,6500.0,-0.81,-7997,LG 트윈스,10480,2023
김대현,6200.0,-0.08,-73558,LG 트윈스,12532,2023
안익훈,5100.0,0.12,41979,LG 트윈스,11347,2023
이상영,5000.0,0.11,46617,LG 트윈스,14135,2023
신민재,4800.0,1.43,3365,LG 트윈스,13056,2023
손호영,4700.0,-0.53,-8895,LG 트윈스,14590,2023
백승현,4600.0,2.02,2279,LG 트윈스,13009,2023
손주영,4100.0,-0.08,-50109,LG 트윈스,12908,2023
임정우,4000.0,-,-,LG 트윈스,10713,2023
송찬의,4000.0,-0.32,-12647,LG 트윈스,13109,2023
김영준,3800.0,-0.01,-595577,LG 트윈스,13102,2023
오석주,3700.0,-0.02,-151073,LG 트윈스,12860,2023
이상규,3600.0,0.19,18571,LG 트윈스,13245,2023
이지강,3600.0,0.17,21420,LG 트윈스,14143,2023
김기연,3500.0,-0.73,-4780,LG 트윈스,12549,2023
송승기,3500.0,0.04,88615,LG 트윈스,14846,2023
김주성,3400.0,-0.09,-35979,LG 트윈스,12545,2023
최민창,3300.0,-,-,LG 트윈스,11351,2023
최승민,3300.0,-0.12,-27513,LG 트윈스,14187,2023
강효종,3300.0,-0.12,-28143,LG 트윈스,14780,2023
조원태,3300.0,-,-,LG 트윈스,15078,2023
허준혁,3300.0,-,-,LG 트윈스,15083,2023
김태형,3200.0,-,-,LG 트윈스,12863,2023
전준호,3200.0,-0.04,-71907,LG 트윈스,12864,2023
성재헌,3200.0,-,-,LG 트윈스,14667,2023
이찬혁,3100.0,-,-,LG 트윈스,12909,2023
성동현,3100.0,-0.01,-284117,LG 트윈스,13103,2023
최현준,3100.0,-,-,LG 트윈스,13105,2023
유영찬,3100.0,1.05,2962,LG 트윈스,14669,2023
김주완,3100.0,-,-,LG 트윈스,15079,2023
김성협,3000.0,-,-,LG 트윈스,12911,2023
김의준,3000.0,-,-,LG 트윈스,13108,2023
김성진,3000.0,-,-,LG 트윈스,14141,2023
김태우,3000.0,-,-,LG 트윈스,14675,2023
함창건,3000.0,-,-,LG 트윈스,14680,2023
김단우,3000.0,-,-,LG 트윈스,14841,2023
박민호,3000.0,-,-,LG 트윈스,14845,2023
최원영,3000.0,-,-,LG 트윈스,15084,2023
김성우,3000.0,-,-,LG 트윈스,15085,2023
양진혁,3000.0,-,-,LG 트윈스,15087,2023
엄태경,3000.0,-,-,LG 트윈스,15088,2023
김범석,3000.0,-0.37,-8055,LG 트윈스,15484,2023
박명근,3000.0,-0.31,-9820,LG 트윈스,15486,2023
이준서,3000.0,-,-,LG 트윈스,15487,2023
원상훈,3000.0,-,-,LG 트윈스,15488,2023
임정균,3000.0,-,-,LG 트윈스,15489,2023
권동혁,3000.0,-,-,LG 트윈스,15490,2023
허용주,3000.0,-,-,LG 트윈스,15491,2023
송대현,3000.0,-0.13,-23886,LG 트윈스,15492,2023
이철민,3000.0,-,-,LG 트윈스,15493,2023
곽민호,3000.0,-,-,LG 트윈스,15494,2023
강민균,3000.0,-,-,LG 트윈스,15495,2023
박세웅,150000.0,4.63,32381,롯데 자이언츠,11310,2023
스트레일리,100000.0,1.78,56200,롯데 자이언츠,14627,2023
렉스,100000.0,0.17,594643,롯데 자이언츠,15152,2023
반즈,85000.0,5.74,14802,롯데 자이언츠,15011,2023
유강남,60000.0,4.09,14661,롯데 자이언츠,10753,2023
안치홍,50000.0,1.99,25091,롯데 자이언츠,10014,2023
전준우,50000.0,3.79,13190,롯데 자이언츠,10266,2023
노진혁,50000.0,2.56,19565,롯데 자이언츠,11165,2023
구드럼,40000.0,0.14,281684,롯데 자이언츠,15651,2023
정훈,30000.0,0.22,137349,롯데 자이언츠,10253,2023
김원중,25200.0,1.36,18560,롯데 자이언츠,10825,2023
윌커슨,25000.0,3.03,8248,롯데 자이언츠,12295,2023
구승민,24860.0,0.90,27634,롯데 자이언츠,11291,2023
한현희,20000.0,0.95,21134,롯데 자이언츠,10863,2023
한동희,19260.0,-2.48,-7760,롯데 자이언츠,13145,2023
최준용,15800.0,1.55,10183,롯데 자이언츠,14624,2023
이인복,14500.0,-0.27,-53772,롯데 자이언츠,11232,2023
김상수,11000.0,1.58,6951,롯데 자이언츠,10427,2023
나균안,10900.0,3.40,3207,롯데 자이언츠,12930,2023
김도규,9500.0,0.21,45957,롯데 자이언츠,13148,2023
서준원,9500.0,-,-,롯데 자이언츠,14159,2023
심재민,8300.0,1.03,8054,롯데 자이언츠,11311,2023
안권수,8000.0,1.84,4355,롯데 자이언츠,14571,2023
지시완,7600.0,0.10,78656,롯데 자이언츠,11413,2023
고승민,7300.0,0.27,27300,롯데 자이언츠,14160,2023
문경찬,7200.0,-0.19,-37857,롯데 자이언츠,11299,2023
이학주,7200.0,0.00,-3290180,롯데 자이언츠,14114,2023
황성빈,7200.0,0.40,17876,롯데 자이언츠,14642,2023
신정락,7000.0,-0.10,-71487,롯데 자이언츠,10516,2023
박승욱,7000.0,1.92,3638,롯데 자이언츠,10804,2023
김민수,6300.0,-0.23,-27418,롯데 자이언츠,12931,2023
윤명준,6000.0,-0.65,-9233,롯데 자이언츠,10885,2023
정보근,5900.0,1.86,3175,롯데 자이언츠,13154,2023
김진욱,5600.0,-0.07,-81697,롯데 자이언츠,14792,2023
신윤후,5300.0,-0.35,-15273,롯데 자이언츠,14169,2023
이민석,4100.0,0.09,47305,롯데 자이언츠,15045,2023
최영환,4000.0,-0.28,-14162,롯데 자이언츠,11276,2023
김재유,4000.0,-,-,롯데 자이언츠,11483,2023
이정훈,4000.0,0.49,8125,롯데 자이언츠,12916,2023
조세진,4000.0,-,-,롯데 자이언츠,15046,2023
강태율,3900.0,-,-,롯데 자이언츠,11388,2023
장두성,3800.0,0.15,25597,롯데 자이언츠,13155,2023
한태양,3800.0,-,-,롯데 자이언츠,15051,2023
정성종,3600.0,0.15,24658,롯데 자이언츠,13147,2023
김주현,3400.0,-,-,롯데 자이언츠,12570,2023
나원탁,3400.0,-0.02,-142499,롯데 자이언츠,12935,2023
최민재,3300.0,-,-,롯데 자이언츠,13004,2023
윤동희,3300.0,0.88,3771,롯데 자이언츠,15048,2023
박진,3200.0,-0.06,-56635,롯데 자이언츠,14163,2023
박영완,3200.0,0.05,66999,롯데 자이언츠,14164,2023
김창훈,3200.0,0.07,42936,롯데 자이언츠,14793,2023
진승현,3200.0,-0.01,-462918,롯데 자이언츠,15047,2023
윤성빈,3100.0,-,-,롯데 자이언츠,12928,2023
김동우,3100.0,-,-,롯데 자이언츠,13149,2023
홍민기,3100.0,-,-,롯데 자이언츠,14625,2023
엄태호,3100.0,-,-,롯데 자이언츠,14640,2023
손성빈,3100.0,0.49,6364,롯데 자이언츠,14796,2023
국해성,3000.0,-0.02,-153748,롯데 자이언츠,10172,2023
김강현,3000.0,0.06,47010,롯데 자이언츠,12699,2023
김태욱,3000.0,0.04,72688,롯데 자이언츠,12923,2023
최이준,3000.0,0.02,173303,롯데 자이언츠,13169,2023
이정우,3000.0,-,-,롯데 자이언츠,14678,2023
우강훈,3000.0,-0.01,-240292,롯데 자이언츠,14816,2023
이주찬,3000.0,-,-,롯데 자이언츠,14819,2023
최종은,3000.0,-,-,롯데 자이언츠,14820,2023
박형준,3000.0,-0.02,-196596,롯데 자이언츠,14861,2023
정대혁,3000.0,-,-,롯데 자이언츠,14995,2023
김서진,3000.0,-,-,롯데 자이언츠,15053,2023
민성우,3000.0,-,-,롯데 자이언츠,15135,2023
김민석,3000.0,-0.21,-14168,롯데 자이언츠,15253,2023
이진하,3000.0,0.18,17085,롯데 자이언츠,15441,2023
김기준,3000.0,-,-,롯데 자이언츠,15442,2023
정대선,3000.0,-0.38,-7884,롯데 자이언츠,15443,2023
이태연,3000.0,-0.15,-19665,롯데 자이언츠,15444,2023
석상호,3000.0,0.26,11574,롯데 자이언츠,15445,2023
조경민,3000.0,-,-,롯데 자이언츠,15446,2023
정재환,3000.0,-,-,롯데 자이언츠,15447,2023
장세진,3000.0,-0.04,-81268,롯데 자이언츠,15448,2023
배인혁,3000.0,-,-,롯데 자이언츠,15449,2023
조준혁,3000.0,-,-,롯데 자이언츠,15623,2023
서동욱,3000.0,-0.12,-26058,롯데 자이언츠,15624,2023
배영빈,3000.0,0.26,11696,롯데 자이언츠,15625,2023
박건,3000.0,-,-,롯데 자이언츠,15626,2023
윤수녕,3000.0,-0.05,-59773,롯데 자이언츠,15627,2023
김동혁,3000.0,0.03,104051,롯데 자이언츠,15645,2023
현도훈,1500.0,-,-,롯데 자이언츠,13271,2023
최형우,90000.0,3.93,22875,KIA 타이거즈,10344,2023
