Rank,Name,Team,Sort▼,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼
97,반즈,25 P,0.39,8,8,0,0,0,0,3,4,0,0,45.2,27,31,30.15,204,47,14,2,4,17,2,0,38,3,0,2,5.32,6.11,5.94,5.77,4.13,1.4,0.39
98,한재승,25 P,0.39,18,0,18,5,0,0,0,0,0,0,18.0,6,9,7.8,87,19,3,0,1,19,0,0,18,0,0,3,3.0,4.5,3.9,3.66,5.37,2.11,0.39
99,웰스,25 P,0.39,3,3,0,0,0,0,1,1,0,0,14.0,5,5,5.0,58,13,3,0,0,2,1,0,12,0,0,0,3.21,3.21,3.21,3.72,2.38,1.07,0.39
100,최지민,25 P,0.38,40,0,40,5,0,0,2,3,0,6,31.0,19,20,16.55,149,27,3,0,2,32,2,0,27,2,0,2,5.52,5.81,4.8,4.79,5.94,1.9,0.38
101,박기호,25 P,0.37,10,1,9,2,0,0,0,0,0,2,14.0,4,5,5.15,61,12,1,0,1,7,3,0,10,1,0,2,2.57,3.21,3.31,3.3,5.19,1.36,0.37
102,김택형,25 P,0.36,10,0,10,2,0,0,0,0,0,1,6.1,0,0,0.0,26,4,1,0,0,4,1,0,4,0,0,0,0.0,0.0,0.0,0.0,4.78,1.26,0.36
103,이호성,25 P,0.35,40,0,40,21,0,0,5,3,8,3,41.1,25,27,23.4,176,31,3,2,5,19,1,0,51,4,0,0,5.44,5.88,5.1,5.08,3.74,1.21,0.35
104,이재희,25 P,0.35,11,0,11,1,0,0,0,2,0,4,9.0,3,3,2.8,39,7,1,1,0,5,0,0,9,0,0,0,3.0,3.0,2.8,2.63,3.11,1.33,0.35
105,김기중,25 P,0.32,3,0,3,2,0,0,0,0,0,0,8.1,0,0,0.7,32,7,0,0,0,1,0,0,4,1,0,1,0.0,0.0,0.76,0.65,3.02,0.96,0.32
106,윤영철,25 P,0.29,13,13,0,0,0,0,2,7,0,0,50.0,31,37,32.85,227,52,7,0,4,30,1,0,43,3,0,4,5.58,6.66,5.91,5.97,4.62,1.64,0.29
107,김민규,25 P,0.29,6,0,6,5,0,0,1,0,0,0,6.2,0,0,0.35,31,4,1,0,0,4,3,0,5,0,0,0,0.0,0.0,0.47,0.51,5.32,1.2,0.29
108,주권,25 P,0.29,19,0,19,10,0,0,0,1,0,0,19.2,9,10,9.5,88,25,2,0,1,6,0,0,14,2,1,0,4.12,4.58,4.35,4.43,3.64,1.58,0.29
109,목지훈,25 P,0.28,12,11,1,0,0,0,3,4,0,0,48.0,31,33,31.8,229,54,7,1,6,35,3,1,43,0,2,9,5.81,6.19,5.96,5.76,5.55,1.85,0.28
110,최준용,25 P,0.28,26,0,26,4,0,0,1,3,1,9,28.1,18,20,16.55,121,25,4,0,2,8,2,0,34,5,0,2,5.72,6.35,5.26,5.04,2.8,1.16,0.28
111,엄상백,25 P,0.27,15,15,0,0,0,0,1,6,0,0,64.0,45,46,45.5,299,81,14,2,9,29,7,0,58,0,0,3,6.33,6.47,6.4,6.17,5.04,1.72,0.27
112,최용준,25 P,0.26,7,0,7,1,0,0,1,0,0,0,9.0,2,2,2.5,39,13,1,0,0,2,0,1,5,0,0,0,2.0,2.0,2.5,2.47,2.8,1.67,0.26
113,이호민,25 P,0.23,9,0,9,3,0,0,1,0,0,0,10.1,3,3,4.05,42,8,2,0,0,7,0,1,3,0,0,0,2.61,2.61,3.53,3.88,4.97,1.45,0.23
114,이지강,25 P,0.22,30,1,29,4,0,0,1,1,1,4,36.2,18,19,22.3,162,36,8,1,3,19,0,0,32,2,1,0,4.42,4.66,5.47,5.49,4.29,1.5,0.22
115,박시후,25 P,0.22,32,1,31,5,0,0,4,1,0,2,36.1,12,15,20.65,157,34,2,0,4,18,1,1,27,3,1,0,2.97,3.72,5.12,5.25,4.87,1.43,0.22
116,육선엽,25 P,0.22,17,0,17,7,0,0,0,1,0,1,19.1,8,11,10.3,82,13,1,0,1,10,0,0,13,4,0,2,3.72,5.12,4.79,4.91,4.42,1.19,0.22
117,정우주,25 P,0.22,30,0,30,8,0,0,2,0,0,3,25.1,13,14,15.2,113,17,5,0,4,12,6,0,34,2,0,1,4.62,4.97,5.4,5.14,4.63,1.14,0.22
118,김대호,25 P,0.21,7,4,3,3,0,0,0,1,0,0,15.2,8,9,9.0,74,14,3,0,2,12,1,0,14,1,0,0,4.6,5.17,5.17,4.54,5.78,1.66,0.21
119,조이현,25 P,0.17,3,3,0,0,0,0,1,2,0,0,11.2,7,7,6.5,50,17,2,1,2,0,1,0,3,0,0,0,5.4,5.4,5.01,4.88,5.51,1.46,0.17
120,배찬승,25 P,0.16,43,0,43,4,0,0,0,1,0,11,34.1,16,18,22.3,161,38,6,0,2,24,2,1,37,2,0,3,4.19,4.72,5.85,5.43,4.16,1.81,0.16
