Rank,Name,Team,Sort▼,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼
198,이용찬,25 P,-0.16,3,3,0,0,0,0,0,2,0,0,9.2,11,11,11.0,51,13,3,0,1,8,2,0,10,0,0,2,10.24,10.24,10.24,9.25,5.79,2.17,-0.16
199,김승일,25 P,-0.17,5,0,5,2,0,0,0,0,0,0,2.2,7,7,5.65,17,3,0,0,1,3,3,0,3,0,0,1,23.63,23.63,19.07,17.84,12.69,2.25,-0.17
200,김대유,25 P,-0.17,10,0,10,1,0,0,0,1,0,1,5.1,8,8,5.25,26,6,0,0,1,3,0,0,2,1,0,0,13.5,13.5,8.86,8.93,6.93,1.69,-0.17
201,정민성,25 P,-0.18,1,1,0,0,0,0,0,1,0,0,1.0,4,4,4.0,7,3,2,1,0,0,2,0,0,0,0,1,36.0,36.0,36.0,31.13,10.24,3.0,-0.18
202,오석주,25 P,-0.18,34,0,34,12,0,0,0,1,0,3,36.1,23,23,23.35,168,45,5,1,3,18,4,0,27,1,0,2,5.7,5.7,5.78,6.25,4.9,1.73,-0.18
203,임진묵,25 P,-0.19,2,0,2,1,0,0,0,0,0,0,1.1,4,5,4.65,12,4,2,0,0,3,0,0,0,1,0,1,27.0,33.75,31.39,31.38,11.04,5.25,-0.19
204,정현우,25 P,-0.21,8,8,0,0,0,0,2,4,0,0,39.1,21,30,30.0,184,43,9,0,2,26,1,0,26,4,1,2,4.81,6.86,6.86,7.28,4.98,1.75,-0.21
205,김명신,25 P,-0.22,8,0,8,1,0,0,0,0,0,0,8.1,5,8,8.7,43,13,3,1,0,3,1,0,6,1,0,1,5.4,8.64,9.4,9.41,3.57,1.92,-0.22
206,김민규,25 P,-0.22,6,0,6,1,0,0,0,0,0,1,3.0,4,4,3.9,17,5,2,0,0,3,0,1,1,0,0,0,12.0,12.0,11.7,11.56,5.14,2.67,-0.22
207,임창민,25 P,-0.23,13,0,13,0,0,0,1,0,0,2,10.0,6,7,8.75,52,14,2,0,4,7,1,1,4,0,0,0,5.4,6.3,7.88,7.07,9.84,2.1,-0.23
208,곽도규,25 P,-0.23,9,0,9,1,0,0,0,0,0,3,4.0,6,6,4.3,22,3,0,0,0,6,2,0,5,0,0,1,13.5,13.5,9.68,9.41,7.11,2.25,-0.23
209,김건국,25 P,-0.24,14,3,11,3,0,0,0,1,0,0,24.0,18,18,19.4,113,31,5,0,3,10,2,0,19,0,0,3,6.75,6.75,7.28,7.45,4.94,1.71,-0.24
210,김유영,25 P,-0.24,6,0,6,4,0,0,0,0,0,0,4.1,6,6,7.55,26,8,3,0,0,4,1,0,5,0,0,0,12.46,12.46,15.68,14.88,4.64,2.77,-0.24
211,김호준,25 P,-0.26,19,0,19,3,0,0,0,1,0,1,10.2,8,11,9.8,54,14,3,0,2,7,0,1,7,2,0,1,6.75,9.28,8.27,8.64,6.53,1.97,-0.26
212,구승민,25 P,-0.26,9,0,9,4,0,0,0,1,0,1,6.0,7,8,7.0,30,7,1,1,1,4,1,0,8,0,0,0,10.5,12.0,10.5,10.92,5.15,1.83,-0.26
213,윤성빈,25 P,-0.29,5,1,4,2,0,0,1,1,0,0,3.2,9,9,7.45,24,5,0,0,0,7,1,0,5,0,0,0,22.09,22.09,18.29,16.99,7.41,3.27,-0.29
214,이강준,25 P,-0.29,29,0,29,3,0,0,0,3,0,2,24.2,18,22,18.9,119,29,5,0,3,17,2,0,26,3,0,2,6.57,8.03,6.9,7.53,5.11,1.86,-0.29
215,최채흥,25 P,-0.29,5,2,3,0,0,0,0,1,0,1,13.0,9,9,9.7,61,17,3,0,2,6,0,0,10,0,0,1,6.23,6.23,6.72,7.23,5.22,1.77,-0.29
216,성동현,25 P,-0.3,12,0,12,6,0,0,0,0,0,0,9.0,9,9,9.65,45,10,0,0,2,9,0,0,6,0,0,1,9.0,9.0,9.65,10.03,8.01,2.11,-0.3
217,손현기,25 P,-0.31,2,0,2,0,0,0,0,0,0,0,3.0,5,5,5.35,18,4,1,0,1,6,1,0,1,0,0,1,15.0,15.0,16.05,18.59,14.44,3.33,-0.31
218,이준혁,25 P,-0.32,11,1,10,1,0,0,1,1,0,0,15.1,15,15,12.95,68,20,2,0,5,2,3,0,11,0,0,1,8.8,8.8,7.6,7.66,6.97,1.43,-0.32
219,이승현,25 P,-0.33,14,0,14,4,0,0,2,0,0,2,14.0,12,13,14.15,64,20,3,0,3,4,0,1,12,0,0,1,7.71,8.36,9.1,8.04,4.93,1.71,-0.33
220,김재윤,25 P,-0.35,37,0,37,13,0,0,3,4,5,3,32.0,24,26,26.15,134,35,6,2,7,6,0,0,24,1,0,1,6.75,7.31,7.35,6.73,5.16,1.28,-0.35
221,김연주,25 P,-0.37,14,6,8,0,0,0,1,2,0,0,37.1,27,28,29.4,180,50,11,1,7,15,6,0,20,2,0,0,6.51,6.75,7.09,7.72,6.53,1.74,-0.37
222,박세현,25 P,-0.37,3,0,3,3,0,0,0,0,0,0,3.2,6,6,6.7,21,8,5,0,1,1,1,0,4,0,0,0,14.73,14.73,16.45,15.28,6.1,2.45,-0.37
223,박진,25 P,-0.37,27,2,25,3,0,0,1,1,1,3,37.1,24,25,30.0,170,49,8,0,6,11,0,0,20,3,0,1,5.79,6.03,7.23,6.83,5.35,1.61,-0.37
224,박윤성,25 P,-0.37,33,0,33,9,0,0,0,5,1,4,30.2,16,19,20.9,130,31,5,0,6,10,0,0,24,1,1,3,4.7,5.58,6.13,6.61,5.25,1.34,-0.37
225,김시훈,25 P,-0.38,15,0,15,7,0,0,0,0,0,1,16.0,15,15,16.75,75,22,4,0,4,6,0,1,11,1,0,0,8.44,8.44,9.42,8.92,6.09,1.75,-0.38
226,김윤하,25 P,-0.39,15,15,0,0,0,0,0,10,0,0,71.1,50,60,53.65,350,97,15,1,10,40,3,1,44,5,0,2,6.31,7.57,6.77,7.33,5.89,1.92,-0.39
227,김성민,25 P,-0.4,25,0,25,2,0,0,0,2,0,1,21.0,12,14,16.05,94,20,3,3,1,12,3,0,13,1,0,0,5.14,6.0,6.88,7.2,5.14,1.52,-0.4
228,이상규,25 P,-0.42,3,0,3,2,0,0,0,1,0,0,5.0,6,7,7.5,30,12,1,1,0,3,0,0,2,1,0,0,10.8,12.6,13.5,12.67,4.76,3.0,-0.42
229,박시영,25 P,-0.42,10,0,10,2,0,0,1,0,0,0,6.1,7,7,6.65,35,7,2,0,0,8,1,0,8,0,0,0,9.95,9.95,9.45,10.22,5.22,2.37,-0.42
230,조영건,25 P,-0.43,28,6,22,5,0,0,2,4,0,4,54.1,41,42,39.4,249,62,12,1,10,25,3,0,35,2,0,5,6.79,6.96,6.53,7.06,6.06,1.6,-0.43
231,최동환,25 P,-0.43,12,0,12,6,0,0,0,1,0,0,10.2,15,16,14.8,56,20,3,0,3,7,1,1,6,0,0,0,12.66,13.5,12.49,12.27,8.18,2.53,-0.43
232,정동윤,25 P,-0.45,7,0,7,6,0,0,0,0,0,0,11.2,15,15,15.0,60,16,6,0,1,11,0,0,11,0,0,0,11.57,11.57,11.57,11.97,5.52,2.31,-0.45
233,김서준,25 P,-0.46,4,0,4,2,0,0,0,0,0,0,5.1,12,12,12.0,34,14,5,0,2,5,0,0,4,0,0,1,20.25,20.25,20.25,20.33,9.42,3.56,-0.46
234,임기영,25 P,-0.47,10,0,10,2,0,0,1,1,0,0,9.0,13,13,13.85,52,23,4,0,2,4,0,0,5,0,0,0,13.0,13.0,13.85,13.45,6.51,3.0,-0.47
235,박준우,25 P,-0.47,7,0,7,0,0,0,1,2,0,1,5.2,8,8,8.65,32,12,2,1,0,3,1,0,4,0,0,0,12.71,12.71,13.74,13.01,4.33,2.65,-0.47
236,전준표,25 P,-0.51,7,1,6,0,0,0,0,0,0,0,6.2,9,9,9.85,41,15,4,0,0,6,1,1,7,0,0,0,12.15,12.15,13.3,13.81,4.57,3.15,-0.51
237,고효준,25 P,-0.57,26,0,26,1,0,0,0,1,0,5,13.0,11,11,13.6,66,19,2,0,2,10,0,1,8,0,0,3,7.62,7.62,9.42,9.28,6.34,2.23,-0.57
238,김상수,25 P,-0.57,44,0,44,13,0,0,0,1,2,3,35.2,26,26,31.35,176,47,10,0,4,18,3,2,27,3,0,1,6.56,6.56,7.91,7.65,4.98,1.82,-0.57
239,최성영,25 P,-0.58,23,6,17,0,0,0,2,2,0,3,36.2,26,26,29.9,173,47,8,2,5,21,2,1,21,2,1,1,6.38,6.38,7.34,7.27,5.95,1.85,-0.58
240,윤석원,25 P,-0.64,11,0,11,3,0,0,0,0,0,1,10.1,14,14,13.35,54,15,4,2,1,7,1,1,6,0,0,0,12.19,12.19,11.63,12.83,5.7,2.13,-0.64
241,임정호,25 P,-0.67,15,0,15,2,0,0,0,0,0,2,7.2,3,3,9.0,37,6,2,1,0,6,2,1,10,0,0,0,3.52,3.52,10.57,10.92,3.5,1.57,-0.67
242,김재열,25 P,-0.71,21,0,21,10,0,0,0,1,0,2,20.2,14,15,21.35,104,30,6,1,4,14,1,1,14,1,0,2,6.1,6.53,9.3,9.29,6.77,2.13,-0.71
243,최지강,25 P,-0.71,33,0,33,7,0,0,2,5,0,5,26.2,20,22,22.35,125,35,5,0,2,12,1,1,34,0,0,3,6.75,7.43,7.54,7.8,2.98,1.76,-0.71
244,양지율,25 P,-0.72,18,0,18,4,0,0,0,2,0,1,14.0,13,13,14.0,69,18,1,2,3,7,3,0,10,0,0,1,8.36,8.36,9.0,10.26,6.89,1.79,-0.72
245,김태경,25 P,-0.72,3,1,2,0,0,0,0,0,0,1,4.1,6,12,12.0,29,8,3,0,2,6,1,1,5,1,0,1,12.46,24.92,24.92,22.09,10.87,3.23,-0.72
246,김진욱,25 P,-0.74,13,6,7,0,0,0,1,3,0,0,27.0,30,31,32.2,134,42,6,0,10,15,1,0,24,1,0,0,10.0,10.33,10.73,9.9,7.92,2.11,-0.74
247,이형범,25 P,-0.78,10,0,10,4,0,0,0,0,0,0,9.0,13,16,18.05,52,20,6,1,0,5,0,1,6,1,0,0,13.0,16.0,18.05,16.87,3.59,2.78,-0.78
248,이준우,25 P,-0.79,29,0,29,4,0,0,1,4,0,3,21.2,18,19,20.6,106,31,6,1,6,10,1,0,22,2,0,0,7.48,7.89,8.56,9.16,5.67,1.89,-0.79
249,원종현,25 P,-1.19,39,0,39,9,0,0,1,2,4,7,35.2,18,22,27.85,162,44,5,2,3,13,1,2,22,2,0,5,4.54,5.55,7.03,7.68,4.37,1.6,-1.19
250,윤현,25 P,-1.52,17,3,14,0,0,0,2,1,0,0,22.0,21,28,29.15,125,31,4,1,2,23,5,0,15,5,0,5,8.59,11.45,11.93,13.37,7.29,2.45,-1.52
