,Name,Team,WAAwithPOS,G_x,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,WAR,G_y,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,연봉(만원)
27,문보경,23 3B,-0.33,128,126,1090.2,308,104,184,20,93.5,2.38,-2.45,,-0.94,0.49,-0.34,,,,-3.24,-3.56,0.0,-3.24,-0.33,141376,3.99,131,4.32,-0.33,542,533,469,77,141,29,5,10,210,72,9,8,58,2,2,83,5,9,4,0.301,0.377,0.448,0.825,0.158,138.5,17000
28,서건창,23 2B,-0.351,35,25,237.0,123,53,61,9,92.7,4.33,-1.4,,-1.83,-1.32,,,,,-4.55,-14.89,1.11,-3.44,-0.464,108556,-0.9,44,-0.44,-0.46,126,123,110,14,22,5,2,0,31,12,3,3,10,0,0,14,5,3,3,0.2,0.26,0.282,0.542,0.053,46.1,20000
29,김기연,23 C,-0.367,27,11,96.1,96,85,7,4,95.8,8.6,-0.05,,-1.73,,,-1.23,-2.12,,-4.49,-23.09,0.89,-3.6,-0.458,125496,-0.67,28,-0.21,-0.46,40,39,34,3,4,0,0,0,4,2,1,0,5,0,0,10,0,1,0,0.118,0.231,0.118,0.349,-0.002,-1.6,3500
30,김대현,23 P,,5,0,3.1,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,125326,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6200
31,고우석,23 P,,44,0,44.0,9,3,5,1,88.9,1.64,,,,,,,,,0.0,0.0,,,0.0,129076,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,43000
32,박명근,23 P,,55,1,51.1,6,2,4,0,100.0,1.05,,,,,,,,,0.0,0.0,,,0.0,154866,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3000
33,최동환,23 P,,43,0,42.1,6,1,5,0,100.0,1.28,,,,,,,,,0.0,0.0,,,0.0,105356,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,10500
34,오석주,23 P,,9,0,10.0,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,128606,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3700
35,이정용,23 P,,37,13,86.2,12,3,8,1,91.7,1.14,,,,,,,,,0.0,0.0,,,0.0,141346,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,24000
36,유강남,23 C,0.911,109,98,821.0,778,714,60,4,99.5,8.48,0.32,,0.64,,-0.03,-2.81,2.72,,0.03,0.03,8.9,8.93,0.003,107532,2.34,121,2.33,0.0,403,401,352,45,92,13,0,10,135,55,1,1,37,8,1,64,13,2,4,0.261,0.342,0.384,0.726,0.122,100.9,60000
37,노진혁,23 SS,0.72,107,95,827.0,373,142,220,11,97.1,3.94,-2.87,,0.96,1.48,,,,,-0.44,-0.56,7.5,7.06,-0.045,111652,2.32,113,2.36,-0.04,390,386,334,43,86,26,1,4,126,51,7,2,45,3,1,84,3,4,4,0.257,0.347,0.377,0.724,0.125,103.2,50000
38,손성빈,23 C,0.407,44,20,201.2,180,166,13,1,99.4,7.99,1.05,,0.03,,-0.01,1.54,-0.74,,2.09,6.7,1.9,3.99,0.213,147962,0.29,45,0.08,0.21,80,78,76,13,20,3,0,1,26,15,0,0,2,0,0,10,3,2,0,0.263,0.282,0.342,0.624,0.076,63.7,3100
39,정보근,23 C,0.185,51,23,228.2,216,191,24,1,99.5,8.46,-0.52,,0.59,,,1.15,-2.42,,-0.47,-1.22,2.28,1.81,-0.048,131542,1.33,55,1.37,-0.05,101,97,81,11,27,6,1,1,38,13,1,0,14,1,0,13,1,4,1,0.333,0.433,0.469,0.902,0.193,158.9,5900
40,지시완,23 C,0.148,2,2,15.0,15,10,5,0,100.0,9.0,0.38,,0.04,,,0.4,0.71,,1.31,31.49,0.14,1.46,0.134,114132,0.0,6,-0.14,0.13,10,8,8,0,1,0,0,0,1,0,0,0,0,0,0,5,0,2,0,0.125,0.125,0.125,0.25,-0.07,-57.2,7600
41,국해성,23 LF,0.01,1,0,2.0,0,0,0,0,0.0,0.0,0.1,,0.0,,,,,,0.11,2.58,-0.01,0.1,0.011,101722,-0.04,6,-0.05,0.01,10,10,8,0,2,0,0,0,2,1,0,0,2,0,0,3,0,0,0,0.25,0.4,0.25,0.65,0.122,100.2,3000
42,정대선,23 2B,-0.136,18,11,101.0,40,14,26,0,100.0,3.56,-1.36,,0.27,-0.68,,,,,-1.77,-13.4,0.43,-1.34,-0.18,154432,-0.54,19,-0.36,-0.18,47,46,40,5,6,1,0,0,7,6,0,0,2,2,0,8,0,1,2,0.15,0.217,0.175,0.392,0.002,2.0,3000
43,김민석,23 CF,-0.629,125,107,933.2,247,243,3,1,99.6,2.37,-7.19,-0.17,1.19,,,,,,-6.17,-6.89,0.0,-6.17,-0.629,152532,0.1,129,0.73,-0.63,454,441,400,53,102,24,0,3,135,39,16,3,31,6,1,112,6,12,5,0.255,0.314,0.338,0.652,0.095,78.1,3000
44,정훈,23 1B,-0.896,65,47,410.1,372,344,23,5,98.7,8.05,-5.25,,0.74,,-0.25,,,,-4.76,-8.58,-4.02,-8.78,-0.486,102532,0.75,80,1.24,-0.49,233,228,201,40,56,14,0,6,88,31,2,0,26,0,1,39,4,4,2,0.279,0.358,0.438,0.796,0.145,118.8,30000
45,김상수,23 P,,65,0,52.0,8,2,5,1,87.5,1.21,,,,,,,,,0.0,0.0,,,0.0,104272,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11000
46,최영환,23 P,,8,0,10.0,4,1,3,0,100.0,3.6,,,,,,,,,0.0,0.0,,,0.0,112762,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,4000
47,김원중,23 P,,63,0,63.2,11,4,7,0,100.0,1.55,,,,,,,,,0.0,0.0,,,0.0,108252,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,25200
