Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid
이창진,22 LF,-0.395,104,89,776.0,184,181,3,0,1.0,2.134,-0.12,-1.75,1.18,0.0,0.0,,0.0,0.0,-0.7,-0.969,-3.13,-3.83,-0.072,112330
김석환,22 LF,-0.042,39,22,204.0,60,60,0,0,1.0,2.647,0.34,-0.4,0.28,0.0,0.0,,0.0,0.0,0.24,0.886,-0.646,-0.406,0.025,129170
도태훈,22 1B,0.411,93,33,397.0,248,170,74,4,0.984,5.531,4.12,0.0,-0.13,0.36,0.0,,0.0,0.0,4.47,6.921,-0.48,3.99,0.461,125605
신용수,22 RF,0.03,35,15,146.0,22,22,0,0,1.0,1.356,0.42,-0.09,0.24,0.0,0.0,,0.0,0.0,0.59,2.427,-0.295,0.295,0.061,141692
황성빈,22 CF,-0.865,103,81,691.0,167,158,2,7,0.958,2.084,-5.61,-0.51,-1.88,0.0,0.0,,0.0,0.0,-7.99,-11.17,-0.398,-8.388,-0.824,146422
서호철,22 2B,-0.013,82,51,496.0,218,83,130,5,0.977,3.865,-0.39,0.0,0.5,-1.14,0.0,,0.0,0.0,-0.66,-1.159,0.531,-0.129,-0.068,142205
추재현,22 RF,-0.179,21,15,136.0,30,29,0,1,0.967,1.919,-1.8,0.7,-0.25,0.0,0.0,,0.0,0.0,-1.36,-9.326,-0.377,-1.737,-0.14,130942
천재환,22 CF,-0.225,32,3,80.0,20,19,1,0,1.0,2.25,-2.1,-0.16,0.13,0.0,0.0,,0.0,0.0,-2.15,-9.675,-0.03,-2.18,-0.222,132615
권희동,22 CF,0.081,82,58,482.0,119,113,3,3,0.975,2.166,2.04,-0.15,-0.72,0.0,0.0,,0.0,0.0,1.17,2.055,-0.388,0.782,0.121,111725
이명기,22 LF,-0.823,78,67,549.0,112,106,2,4,0.964,1.77,-3.99,-0.9,-1.12,0.0,0.0,,0.0,0.0,-6.0,-11.077,-1.982,-7.982,-0.619,101195
김성현,22 2B,0.494,143,89,854.0,456,159,285,12,0.974,4.679,1.83,0.0,0.05,1.11,0.0,,0.0,0.0,2.75,2.769,2.046,4.796,0.284,106364
이해승,22 SS,0.099,45,27,261.0,130,43,78,9,0.931,4.172,0.17,0.0,-0.55,-0.34,0.0,,0.0,0.0,-0.71,-2.272,1.672,0.962,-0.073,141213
김현준,22 CF,-0.19,116,98,868.0,253,246,4,3,0.988,2.592,-1.21,-0.38,-0.22,0.0,0.0,,0.0,0.0,-1.81,-2.247,-0.034,-1.844,-0.187,148673
김영웅,22 3B,0.049,12,3,36.0,10,3,6,1,0.9,2.25,0.87,0.0,0.04,-0.47,0.0,,0.0,0.0,0.45,5.4,0.025,0.475,0.046,150353
이병규,22 1B,-0.0,13,7,54.0,41,36,4,1,0.976,6.667,0.03,0.13,0.06,0.0,0.0,,0.0,0.0,0.19,2.105,-0.194,-0.004,0.02,128597
김준완,22 LF,-0.549,122,79,738.0,184,174,7,3,0.984,2.207,-4.79,1.25,-0.28,0.0,0.0,,0.0,0.0,-3.81,-4.497,-1.515,-5.325,-0.393,111827
송민섭,22 RF,0.226,110,5,225.0,58,56,1,1,0.983,2.28,3.05,-0.49,-0.11,0.0,0.0,,0.0,0.0,2.47,3.233,-0.274,2.196,0.255,113428
권동진,22 2B,0.179,42,8,110.0,73,29,43,1,0.986,5.891,1.06,0.0,0.14,0.36,0.0,,0.0,0.0,1.55,5.314,0.188,1.738,0.16,147778
하재훈,22 LF,-0.282,46,24,209.0,49,45,3,1,0.98,2.067,-1.55,-0.3,-0.16,0.0,0.0,,0.0,0.0,-2.01,-6.292,-0.722,-2.732,-0.207,141474
김재현,22 3B,-0.191,18,6,59.0,15,5,9,1,0.933,2.136,-1.3,0.0,0.05,-0.6,0.0,,0.0,0.0,-1.85,-14.8,0.0,-1.85,-0.191,112894
최상민,22 RF,0.066,23,3,58.0,23,23,0,0,1.0,3.569,0.12,0.46,0.09,0.0,0.0,,0.0,0.0,0.68,4.257,-0.043,0.637,0.07,131954
석정우,22 3B,0.096,9,3,25.0,15,6,9,0,1.0,5.4,0.47,0.0,0.03,0.41,0.0,,0.0,0.0,0.91,14.56,0.023,0.933,0.094,151214
김주원,22 SS,1.567,100,81,731.0,412,167,234,11,0.973,4.937,9.82,0.0,-0.77,1.65,0.0,,0.0,0.0,10.7,15.408,4.504,15.204,1.103,147655
김기환,22 CF,0.296,75,28,322.0,87,83,2,2,0.977,2.376,2.69,0.32,-0.01,0.0,0.0,,0.0,0.0,2.99,5.741,-0.117,2.873,0.308,114005
한태양,22 SS,0.077,37,20,187.0,91,31,55,5,0.945,4.139,-2.38,0.0,0.3,1.87,0.0,,0.0,0.0,-0.23,-0.895,0.972,0.742,-0.024,150512
정진기,22 RF,0.033,32,8,115.0,21,21,0,0,1.0,1.643,-0.11,0.3,0.18,0.0,0.0,,0.0,0.0,0.38,1.71,-0.062,0.318,0.039,107175
오선진,22 3B,-0.421,108,76,638.0,252,102,140,10,0.96,3.414,-3.81,0.0,0.25,-1.32,0.0,,0.0,0.0,-4.71,-6.28,0.626,-4.084,-0.486,105573
강한울,22 3B,0.033,101,53,499.0,186,50,127,9,0.952,3.192,-0.7,0.0,-0.46,0.91,0.0,,0.0,0.0,0.12,0.171,0.204,0.324,0.012,112553
안주형,22 2B,0.232,17,3,55.0,38,13,25,0,1.0,6.218,2.01,0.0,0.06,0.0,0.0,,0.0,0.0,2.07,17.534,0.178,2.248,0.213,129883
홍현빈,22 RF,0.48,69,24,253.0,66,62,3,1,0.985,2.312,5.68,-0.6,-0.06,0.0,0.0,,0.0,0.0,5.02,10.477,-0.369,4.651,0.518,129418
이진영,22 RF,-0.223,67,55,486.0,92,87,3,2,0.978,1.667,-0.44,0.04,-0.13,0.0,0.0,,0.0,0.0,-0.52,-1.118,-1.644,-2.164,-0.054,125399
유상빈,22 LF,-0.323,14,13,101.0,14,14,0,0,1.0,1.248,-2.17,-0.8,0.16,0.0,0.0,,0.0,0.0,-2.82,-29.006,-0.31,-3.13,-0.291,151419
이주형,22 1B,-0.149,12,11,76.0,67,65,2,0,1.0,7.934,-0.86,0.0,0.06,0.0,0.0,,0.0,0.0,-0.8,-9.6,-0.642,-1.442,-0.082,148557
이형종,22 RF,0.181,8,3,34.0,19,18,1,0,1.0,5.029,2.2,-0.41,0.05,0.0,0.0,,0.0,0.0,1.84,33.12,-0.086,1.754,0.19,125166
양찬열,22 RF,0.123,37,23,195.0,47,45,1,1,0.979,2.123,1.92,-0.01,-0.14,0.0,0.0,,0.0,0.0,1.77,6.889,-0.577,1.193,0.182,147381
오재원,22 2B,-0.069,16,8,79.0,47,35,12,0,1.0,5.354,-1.06,0.0,0.08,0.37,0.0,,0.0,0.0,-0.62,-5.58,-0.045,-0.665,-0.064,101781
노시환,22 3B,-0.101,110,94,826.0,389,258,121,10,0.974,4.13,-0.53,0.0,0.68,-0.18,0.0,,0.0,0.0,-0.28,-0.367,-0.7,-0.98,-0.029,141259
원혁재,22 LF,-0.223,9,7,55.0,16,16,0,0,1.0,2.618,-1.92,-0.23,0.09,0.0,0.0,,0.0,0.0,-2.06,-32.96,-0.107,-2.167,-0.212,128729
신준우,22 SS,0.329,78,16,212.0,120,38,80,2,0.983,5.009,-1.15,0.0,0.34,3.09,0.0,,0.0,0.0,2.29,4.228,0.898,3.188,0.236,146957
김혜성,22 2B,1.404,130,123,1085.0,676,294,371,11,0.984,5.516,8.61,0.0,0.3,-0.68,0.0,,0.0,0.0,8.23,9.116,5.394,13.624,0.848,129057
허경민,22 3B,-0.576,121,117,978.0,280,111,160,9,0.968,2.494,-6.05,0.0,0.36,0.24,0.0,,0.0,0.0,-5.59,-6.653,0.0,-5.59,-0.576,101841
강현구,22 LF,-0.217,2,3,11.0,4,2,0,2,0.5,1.636,-0.81,-0.33,-0.95,0.0,0.0,,0.0,0.0,-2.08,-149.76,-0.025,-2.105,-0.214,147731
이천웅,22 LF,-0.076,9,1,24.0,4,4,0,0,1.0,1.5,-0.42,-0.32,0.04,0.0,0.0,,0.0,0.0,-0.7,-11.2,-0.033,-0.733,-0.072,109356
박해민,22 CF,1.174,145,142,1206.0,361,356,3,2,0.994,2.679,10.04,0.64,0.71,0.0,0.0,,0.0,0.0,11.39,11.311,0.0,11.39,1.174,111906
채은성,22 1B,-0.972,129,121,968.0,966,902,54,10,0.99,8.888,0.62,-0.06,-0.2,0.0,0.0,,0.0,0.0,-0.02,-0.022,-9.408,-9.428,-0.002,112156
루이즈,22 3B,0.024,26,24,209.0,66,25,38,3,0.955,2.713,0.4,0.0,-0.29,0.0,0.0,,0.0,0.0,0.21,1.163,0.022,0.232,0.022,150026
문보경,22 3B,0.391,165,113,1006.0,439,278,155,6,0.986,3.874,3.66,0.0,-0.13,1.1,0.0,,0.0,0.0,4.6,4.015,-0.808,3.792,0.474,141376
김민성,22 3B,-0.269,85,31,358.0,97,33,61,3,0.969,2.363,-2.81,0.0,0.32,-0.24,0.0,,0.0,0.0,-2.62,-4.439,0.016,-2.604,-0.27,102386
김재호,22 SS,0.666,105,65,614.0,314,114,194,6,0.981,4.515,2.7,0.0,0.51,-1.41,0.0,,0.0,0.0,1.92,2.633,4.536,6.456,0.198,101741
김도영,22 3B,0.859,97,60,567.0,219,76,130,13,0.941,3.27,5.78,0.0,0.62,1.57,0.0,,0.0,0.0,7.89,11.713,0.439,8.329,0.813,150560
이대호,22 1B,-0.132,9,7,63.0,70,58,12,0,1.0,10.0,-0.86,0.0,0.05,0.0,0.0,,0.0,0.0,-0.66,-10.56,-0.622,-1.282,-0.068,102512
전준우,22 LF,-1.271,116,108,925.0,224,216,6,2,0.991,2.16,-7.48,-0.95,0.37,0.0,0.0,,0.0,0.0,-8.31,-10.316,-4.017,-12.327,-0.857,102662
박찬호,22 SS,1.398,133,129,1115.0,582,216,344,22,0.962,4.52,2.89,0.0,0.87,-1.15,0.0,,0.0,0.0,2.61,2.826,10.949,13.559,0.269,112610
최주환,22 2B,-0.42,87,76,592.0,380,224,145,11,0.971,5.61,-4.08,0.0,-0.82,-0.44,0.0,,0.0,0.0,-5.16,-8.541,1.086,-4.074,-0.532,101824
김규남,22 LF,-0.052,2,1,10.0,4,4,0,0,1.0,3.6,-0.09,-0.4,0.01,0.0,0.0,,0.0,0.0,-0.48,-34.56,-0.02,-0.5,-0.049,142004
오준혁,22 RF,0.249,25,12,93.0,19,17,2,0,1.0,1.839,2.22,0.26,0.15,0.0,0.0,,0.0,0.0,2.63,15.149,-0.215,2.415,0.271,106724
최항,22 3B,-0.053,6,2,16.0,4,2,2,0,1.0,2.25,-0.22,0.0,0.01,-0.29,0.0,,0.0,0.0,-0.5,-12.0,-0.01,-0.51,-0.052,108104
김선빈,22 2B,0.333,139,134,1137.0,591,246,335,10,0.983,4.599,-3.27,0.0,0.36,0.46,0.0,,0.0,0.0,-2.45,-2.538,5.677,3.227,-0.253,100080
김한별,22 SS,0.124,24,4,78.0,38,11,23,4,0.895,3.923,1.39,0.0,-0.36,-0.23,0.0,,0.0,0.0,0.8,4.8,0.403,1.203,0.082,147165
오태양,22 CF,0.103,6,0,8.0,4,1,3,0,1.0,4.5,0.81,0.18,0.01,0.0,0.0,,0.0,0.0,1.0,24.0,0.0,1.0,0.103,147665
노진혁,22 SS,-0.349,119,110,906.0,324,111,197,16,0.951,3.06,-6.67,0.0,0.65,0.11,0.0,,0.0,0.0,-5.52,-6.68,2.138,-3.382,-0.569,111655
김수윤,22 3B,0.019,8,4,41.0,24,17,6,1,0.958,5.049,0.24,0.0,0.04,0.0,0.0,,0.0,0.0,0.27,4.86,-0.09,0.18,0.028,129035
박석민,22 3B,-0.097,10,10,78.0,41,26,13,2,0.951,4.5,-0.75,0.0,0.06,-0.25,0.0,,0.0,0.0,-0.83,-11.952,-0.112,-0.942,-0.086,103225
박준영,22 3B,-0.64,77,57,503.0,175,55,107,13,0.926,2.899,-4.17,0.0,-1.4,-0.82,0.0,,0.0,0.0,-6.59,-12.324,0.38,-6.21,-0.679,125225
오영수,22 1B,-0.624,77,63,554.0,531,486,41,4,0.992,8.561,-1.81,-0.13,0.42,0.0,0.0,,0.0,0.0,-1.14,-2.132,-4.915,-6.055,-0.118,130825
박건우,22 CF,-0.251,93,85,693.0,165,158,4,3,0.982,2.104,-3.49,1.1,0.03,0.0,0.0,,0.0,0.0,-2.36,-3.654,-0.071,-2.431,-0.243,101895
김민수,22 RF,0.045,3,2,16.0,2,2,0,0,1.0,1.125,0.35,0.11,0.02,0.0,0.0,,0.0,0.0,0.48,23.04,-0.043,0.437,0.049,141682
조세진,22 RF,-0.036,32,20,192.0,40,38,1,1,0.975,1.828,-0.12,0.4,-0.16,0.0,0.0,,0.0,0.0,0.13,0.585,-0.483,-0.353,0.013,150462
피터스,22 CF,-0.167,99,85,755.0,168,163,2,3,0.982,1.967,-0.99,-0.64,0.13,0.0,0.0,,0.0,0.0,-1.49,-2.167,-0.133,-1.623,-0.154,150092
김세민,22 2B,-0.039,4,0,13.0,6,1,5,0,1.0,4.154,-0.36,0.0,0.02,-0.07,0.0,,0.0,0.0,-0.41,-14.76,0.028,-0.382,-0.042,150492
한동희,22 3B,-0.551,118,113,983.0,262,65,178,19,0.927,2.225,-5.25,0.0,0.37,-0.42,0.0,,0.0,0.0,-5.34,-6.517,-0.001,-5.341,-0.551,131452
안치홍,22 2B,-0.341,145,126,1060.0,688,395,281,12,0.983,5.74,-8.19,0.0,1.14,0.86,0.0,,0.0,0.0,-5.81,-5.77,2.501,-3.309,-0.599,100142
박승욱,22 SS,0.025,106,60,554.0,273,105,158,10,0.963,4.273,-1.34,0.0,-0.6,-0.14,0.0,,0.0,0.0,-2.08,-2.826,2.324,0.244,-0.214,108042
배성근,22 2B,0.01,22,8,98.0,51,18,32,1,0.98,4.592,0.5,0.0,-0.37,-0.32,0.0,,0.0,0.0,-0.18,-1.178,0.273,0.093,-0.019,132792
송준석,22 RF,-0.253,11,8,61.0,10,10,0,0,1.0,1.475,-2.6,0.18,0.1,0.0,0.0,,0.0,0.0,-2.31,-30.24,-0.14,-2.45,-0.238,112003
