Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,포지션
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,
12,오선진,24 3B,0.16,26,0.04,0.12,29,24,20,0,4,1,0,0,5,0,0,0,2,2,0,8,0,5,0,0.2,0.333,0.25,0.583,0.095,67.4,0.16,3루수
13,김민성,24 3B,0.1,35,0.06,0.03,84,84,70,6,14,5,0,2,25,8,0,1,10,3,0,18,1,0,1,0.2,0.321,0.357,0.678,0.109,79.9,0.1,3루수
14,서예일,24 3B,0.03,24,-0.09,0.12,20,20,18,2,4,0,0,0,4,1,0,0,2,0,0,5,0,0,0,0.222,0.3,0.222,0.522,0.05,38.9,0.03,3루수
15,임종성,24 3B,-0.01,1,-0.06,0.04,4,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.25,0.0,0.25,-0.008,-6.5,-0.01,3루수
16,최명경,24 3B,-0.06,1,0.0,-0.06,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,0.089,63.3,-0.06,3루수
17,공민규,24 3B,-0.16,12,-0.08,-0.08,17,17,14,1,1,0,0,1,4,2,0,0,1,2,0,9,1,0,0,0.071,0.235,0.286,0.521,0.056,39.5,-0.16,3루수
18,김규성,24 3B,-0.19,27,0.05,-0.25,15,14,12,5,3,1,0,0,4,2,1,0,2,0,0,4,0,1,0,0.25,0.357,0.333,0.69,0.119,88.3,-0.19,3루수
19,윤준혁,24 3B,-0.23,13,-0.15,-0.08,18,18,17,3,3,2,0,0,5,0,0,0,1,0,0,6,0,0,0,0.176,0.222,0.294,0.516,0.03,21.9,-0.23,3루수
20,황재균,24 3B,-0.3,137,0.02,-0.32,536,531,493,60,128,22,0,13,189,58,4,6,34,2,0,95,16,5,2,0.26,0.309,0.383,0.692,0.099,72.2,-0.3,3루수
21,김민수,24 3B,-0.33,19,-0.22,-0.11,22,22,20,1,3,0,0,0,3,0,0,0,1,1,0,4,1,0,0,0.15,0.227,0.15,0.377,-0.004,-3.4,-0.33,3루수
22,김호진,24 3B,-0.4,26,-0.47,0.07,32,32,29,4,2,0,0,0,2,3,0,0,1,1,0,11,1,0,1,0.069,0.125,0.069,0.194,-0.088,-60.7,-0.4,3루수
23,고영우,24 3B,-0.42,94,0.01,-0.43,290,286,254,21,65,12,2,0,81,35,0,0,28,1,0,71,5,4,3,0.256,0.329,0.319,0.648,0.094,73.5,-0.42,3루수
24,이주찬,24 3B,-0.43,17,-0.11,-0.32,25,25,24,7,4,1,0,1,8,2,0,0,1,0,0,9,1,0,0,0.167,0.2,0.333,0.533,0.025,17.0,-0.43,3루수
25,강한울,24 3B,-0.47,18,-0.47,0.01,25,22,21,1,2,0,0,0,2,1,0,0,0,0,0,6,1,3,1,0.095,0.091,0.095,0.186,-0.114,-81.5,-0.47,3루수
26,이호연,24 3B,-0.61,27,-0.55,-0.06,43,42,41,3,6,1,0,0,7,0,0,0,1,0,0,12,2,1,0,0.146,0.167,0.171,0.338,-0.044,-32.6,-0.61,3루수
1,김주원,24 SS,3.75,134,3.07,0.68,475,466,385,61,97,18,2,9,146,49,16,6,51,25,1,111,5,9,5,0.252,0.371,0.379,0.75,0.143,108.4,3.75,유격수
2,박성한,24 SS,3.6,137,3.5,0.1,564,559,489,78,147,24,0,10,201,67,13,3,64,2,3,86,11,3,6,0.301,0.38,0.411,0.791,0.145,104.0,3.6,유격수
3,이재현,24 SS,3.03,109,2.43,0.6,458,457,389,71,101,18,1,14,163,66,2,1,58,8,1,83,8,0,3,0.26,0.365,0.419,0.784,0.146,104.8,3.03,유격수
4,오지환,24 SS,3.0,108,2.67,0.33,428,426,370,67,94,24,2,10,152,59,17,4,51,4,0,106,8,2,1,0.254,0.35,0.411,0.761,0.136,104.5,3.0,유격수
5,박찬호,24 SS,2.78,134,2.58,0.2,577,570,515,86,158,24,1,5,199,61,20,13,48,1,1,44,9,7,6,0.307,0.363,0.386,0.749,0.129,95.7,2.78,유격수
6,김휘집,24 SS,2.24,140,1.66,0.57,562,557,488,78,126,24,1,16,200,73,4,3,52,10,1,119,16,4,8,0.258,0.337,0.41,0.747,0.125,95.0,2.24,유격수
7,김상수,24 SS,1.89,113,1.77,0.13,420,413,369,60,102,18,4,4,140,45,3,2,37,6,0,59,12,7,1,0.276,0.351,0.379,0.73,0.126,91.5,1.89,유격수
8,박준영,24 SS,1.47,65,0.91,0.56,212,211,186,25,42,9,2,7,76,28,2,0,21,3,0,58,3,1,1,0.226,0.313,0.409,0.722,0.114,86.6,1.47,유격수
9,구본혁,24 SS,1.29,133,0.73,0.56,389,385,339,48,87,14,2,2,111,43,8,4,38,4,0,51,7,4,4,0.257,0.335,0.327,0.662,0.101,77.6,1.29,유격수
10,박승욱,24 SS,1.01,139,1.65,-0.64,468,463,405,57,106,19,1,7,148,53,4,5,47,10,3,120,7,3,3,0.262,0.351,0.365,0.716,0.121,86.4,1.01,유격수
11,신본기,24 SS,0.82,84,0.84,-0.02,152,143,122,18,34,3,0,3,46,19,2,0,16,3,0,28,3,9,2,0.279,0.371,0.377,0.748,0.135,97.6,0.82,유격수
12,김재호,24 SS,0.68,57,0.99,-0.31,154,147,126,20,38,5,0,1,46,11,0,0,19,1,0,23,4,7,1,0.302,0.395,0.365,0.76,0.144,112.2,0.68,유격수
13,심우준,24 SS,0.64,53,0.65,-0.01,192,187,169,22,45,4,0,3,58,28,7,1,17,1,0,29,3,5,0,0.266,0.337,0.343,0.68,0.105,75.5,0.64,유격수
14,이도윤,24 SS,0.59,134,0.74,-0.14,374,368,336,49,93,10,3,1,112,46,6,4,26,3,0,56,5,6,3,0.277,0.332,0.333,0.665,0.098,72.4,0.59,유격수
15,하주석,24 SS,0.25,64,0.7,-0.45,151,149,137,16,40,9,1,1,54,11,1,2,10,2,0,33,1,2,0,0.292,0.349,0.394,0.743,0.127,94.7,0.25,유격수
16,김주성,24 SS,0.12,12,0.07,0.05,9,9,6,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0.167,0.444,0.167,0.611,0.145,110.3,0.12,유격수
17,박민,24 SS,-0.01,16,0.0,-0.01,30,30,29,5,8,4,0,0,12,2,0,1,1,0,0,7,0,0,0,0.276,0.3,0.414,0.714,0.105,77.5,-0.01,유격수
18,한경빈,24 SS,-0.01,1,-0.02,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.19,-151.2,-0.01,유격수
19,장준원,24 SS,-0.04,17,-0.13,0.09,18,18,14,1,1,0,0,0,1,0,0,0,4,0,0,5,0,0,0,0.071,0.278,0.071,0.349,0.018,13.5,-0.04,유격수
20,김태진,24 SS,-0.04,81,-0.77,0.73,202,197,189,26,42,6,3,0,54,10,0,0,7,0,1,27,1,5,1,0.222,0.249,0.286,0.535,0.035,27.5,-0.04,유격수
21,김한별,24 SS,-0.07,40,0.24,-0.31,50,50,44,8,14,1,0,0,15,3,0,0,2,4,0,9,2,0,0,0.318,0.4,0.341,0.741,0.148,109.8,-0.07,유격수
22,김세훈,24 SS,-0.1,7,-0.06,-0.05,5,5,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.0,0.2,0.0,0.2,-0.045,-35.0,-0.1,유격수
23,김주형,24 SS,-0.12,22,-0.19,0.07,25,24,20,0,3,0,0,0,3,2,0,1,1,3,0,9,0,1,0,0.15,0.292,0.15,0.442,0.05,37.3,-0.12,유격수
24,이학주,24 SS,-0.15,43,0.25,-0.4,105,103,95,13,25,2,2,2,37,4,0,1,6,2,0,44,0,2,0,0.263,0.32,0.389,0.709,0.111,79.9,-0.15,유격수
25,김두현,24 SS,-0.15,3,0.1,-0.26,6,6,5,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0.4,0.5,0.4,0.9,0.229,164.9,-0.15,유격수
26,김병휘,24 SS,-0.19,28,0.03,-0.21,71,70,59,6,10,3,0,1,16,3,0,0,6,5,0,26,0,1,0,0.169,0.3,0.271,0.571,0.081,61.7,-0.19,유격수
27,노진혁,24 SS,-0.26,73,-0.18,-0.08,157,154,137,13,30,6,0,2,42,13,0,0,15,1,1,39,1,2,2,0.219,0.297,0.307,0.604,0.072,51.0,-0.26,유격수
28,전민재,24 SS,-0.32,100,-0.39,0.07,276,272,248,34,61,5,1,2,74,32,7,3,17,4,1,53,8,4,3,0.246,0.301,0.298,0.599,0.071,54.5,-0.32,유격수
29,이승원,24 SS,-0.74,20,-0.53,-0.2,41,39,37,3,4,1,0,0,5,1,0,0,2,0,0,13,2,2,0,0.108,0.154,0.135,0.289,-0.058,-43.9,-0.74,유격수
30,이재상,24 SS,-1.04,36,-0.55,-0.49,89,88,84,7,16,1,0,1,20,5,0,0,2,2,0,33,0,1,0,0.19,0.227,0.238,0.465,0.013,9.9,-1.04,유격수
