Name_x,포지션,pit_G,GR,GF,CG,SHO,W,L,S,HD,ER,R_x,rRA,TBF,H_x,2B_x,3B_x,HR_x,BB_x,HP_x,IB_x,SO_x,ROE,BK,WP,ERA,RA9,FIP,WHIP,팀,pid,Sort▼_y,fid_G,fid_GS,fid_IP,PO,Ass,E,F%,RF9,수비 관련 득점 기여도.8,수비 관련 득점 기여도.9,연봉(만원),WAR,WAR당 연봉,팀_y
이승현,투수,60,60,8,0,0,4,4,0,14,24,29,32.45,264,68,12,1,5,15,0,1,42,5,0,2,3.6,4.35,3.81,1.38,삼성 라이온즈,10527,0.0,60.0,0.0,60.0,4.0,4.0,0.0,100.0,1.2,0.0,0.0,12000,0.55,21832,삼성 라이온즈
정찬헌,투수,14,0,1,1,0,2,8,0,0,38,40,39.5,295,71,12,3,4,13,2,1,35,3,0,0,4.75,5.0,3.9,1.17,키움 히어로즈,10533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,1.27,7905,키움 히어로즈
최동환,투수,45,45,15,0,0,0,0,1,1,15,18,18.5,189,42,11,0,1,17,3,2,20,5,0,0,3.19,3.83,4.41,1.39,LG 트윈스,10535,0.0,43.0,0.0,42.1,1.0,5.0,0.0,100.0,1.28,0.0,0.0,10500,0.52,20064,LG 트윈스
이태양,투수,50,38,6,0,0,3,3,0,2,36,44,48.5,422,100,25,6,7,21,3,2,72,9,0,1,3.23,3.95,3.6,1.21,한화 이글스,10609,0.0,50.0,12.0,100.1,6.0,13.0,0.0,100.0,1.7,0.0,0.0,66000,1.44,45702,한화 이글스
장민재,투수,25,12,6,0,0,3,8,0,1,37,46,47.55,308,79,13,2,12,22,5,2,61,4,0,5,4.83,6.0,4.83,1.46,한화 이글스,10610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11500,0.05,223567,한화 이글스
임찬규,투수,30,4,1,0,0,14,3,0,1,55,63,59.75,632,142,22,2,10,54,5,1,103,10,1,1,3.42,3.92,4.16,1.35,LG 트윈스,10652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000,3.4,4999,LG 트윈스
김대우,투수,44,39,5,0,0,0,2,0,4,32,37,39.9,277,66,9,1,7,22,3,1,49,3,0,1,4.5,5.2,4.4,1.38,삼성 라이온즈,10685,0.0,44.0,5.0,64.0,3.0,8.0,2.0,84.6,1.55,0.0,0.0,7000,0.29,23829,삼성 라이온즈
김강률,투수,32,32,4,0,0,1,0,1,7,12,14,11.05,115,23,3,0,2,12,2,0,21,2,0,2,4.21,4.91,4.42,1.36,두산 베어스,10690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000,0.4,50245,두산 베어스
홍건희,투수,64,64,40,0,0,1,5,22,5,21,28,26.3,277,67,10,3,4,24,0,3,62,3,0,8,3.06,4.09,3.21,1.48,두산 베어스,10696,0.0,64.0,0.0,61.2,1.0,7.0,2.0,80.0,1.17,0.0,0.0,30000,0.84,35541,두산 베어스
김대유,투수,41,41,4,0,0,0,2,0,4,14,15,15.0,110,26,1,1,2,8,6,1,20,1,0,0,5.11,5.47,4.42,1.38,KIA 타이거즈,10706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000,-0.03,-620023,KIA 타이거즈
심창민,투수,5,5,1,0,0,0,1,0,0,1,2,1.3,18,2,0,0,0,5,1,0,5,0,0,0,2.7,5.4,5.68,2.1,NC 다이노스,10720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000,0.06,260282,NC 다이노스
양현,투수,54,54,12,0,0,0,5,0,8,32,38,43.65,262,83,9,2,5,21,0,1,16,6,1,0,5.05,6.0,5.28,1.82,키움 히어로즈,10730,0.0,54.0,0.0,57.0,3.0,11.0,0.0,100.0,2.21,0.0,0.0,8500,-0.56,-15256,키움 히어로즈
송윤준,투수,4,4,1,0,0,0,0,0,0,4,4,4.0,19,4,2,0,0,2,0,0,3,0,1,0,8.31,8.31,3.55,1.38,한화 이글스,10748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500,-0.04,-99340,한화 이글스
이우찬,투수,38,38,6,0,0,1,3,0,5,15,15,13.1,157,35,4,0,1,18,2,0,30,2,1,2,3.52,3.52,3.82,1.38,LG 트윈스,10749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000,0.78,15421,LG 트윈스
문승원,투수,50,38,4,0,0,5,8,1,9,61,67,64.45,479,138,27,1,12,35,6,1,65,8,0,3,5.23,5.74,4.84,1.65,SSG 랜더스,10783,0.0,50.0,12.0,105.0,6.0,21.0,1.0,96.4,2.31,0.0,0.0,70000,0.78,89613,SSG 랜더스
서진용,투수,69,69,61,0,0,5,4,42,0,21,22,22.7,325,63,6,0,3,49,4,6,64,1,0,5,2.59,2.71,4.27,1.53,SSG 랜더스,10784,0.0,69.0,0.0,73.0,1.0,4.0,0.0,100.0,0.62,0.0,0.0,26500,2.84,9330,SSG 랜더스
임준섭,투수,41,41,11,0,0,0,2,0,4,21,25,24.15,155,44,6,0,1,19,1,1,26,1,0,2,5.79,6.89,4.12,1.93,SSG 랜더스,10795,0.0,39.0,0.0,32.2,1.0,2.0,0.0,100.0,0.83,0.0,0.0,4000,-0.12,-33228,SSG 랜더스
한승혁,투수,21,14,4,0,0,0,3,0,1,26,27,28.9,176,48,9,0,3,21,3,0,28,2,0,4,6.44,6.69,4.95,1.9,한화 이글스,10812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6200,-0.26,-23712,한화 이글스
홍성민,투수,2,2,2,0,0,0,0,0,0,2,2,2.0,12,5,0,1,1,1,0,0,1,0,0,1,9.0,9.0,10.1,3.0,키움 히어로즈,10814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000,-0.01,-1243915,키움 히어로즈
김원중,투수,63,63,47,0,0,5,6,30,0,21,24,29.5,265,51,5,3,2,25,5,3,82,1,0,3,2.97,3.39,2.37,1.19,롯데 자이언츠,10825,0.0,63.0,0.0,63.2,4.0,7.0,0.0,100.0,1.55,0.0,0.0,25200,1.36,18560,롯데 자이언츠
최성훈,투수,5,5,1,0,0,0,0,1,0,5,5,6.9,17,7,2,0,0,1,0,0,2,0,0,0,15.0,15.0,3.22,2.67,LG 트윈스,10851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000,-0.18,-73985,LG 트윈스
한현희,투수,38,20,3,0,0,6,12,0,3,63,69,65.6,476,123,20,4,11,44,11,1,74,3,0,6,5.45,5.97,4.97,1.61,롯데 자이언츠,10863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000,0.95,21134,롯데 자이언츠
김태훈,투수,63,63,16,0,0,5,7,3,8,45,48,42.2,268,65,17,1,7,37,3,3,36,2,0,1,7.28,7.76,5.9,1.83,삼성 라이온즈,10871,0.0,63.0,0.0,55.2,4.0,13.0,0.0,100.0,2.75,0.0,0.0,18000,-0.62,-28892,삼성 라이온즈
김태훈,투수,63,63,16,0,0,5,7,3,8,45,48,42.2,268,65,17,1,7,37,3,3,36,2,0,1,7.28,7.76,5.9,1.83,삼성 라이온즈,10871,0.0,8.0,0.0,7.2,0.0,1.0,0.0,100.0,1.17,0.0,0.0,18000,-0.62,-28892,삼성 라이온즈
김태훈,투수,8,8,2,0,0,1,0,0,3,5,6,5.65,38,9,1,1,1,6,0,1,4,1,0,0,5.87,7.04,6.12,1.96,키움 히어로즈,10871,0.0,63.0,0.0,55.2,4.0,13.0,0.0,100.0,2.75,0.0,0.0,18000,-0.62,-28892,삼성 라이온즈
김태훈,투수,8,8,2,0,0,1,0,0,3,5,6,5.65,38,9,1,1,1,6,0,1,4,1,0,0,5.87,7.04,6.12,1.96,키움 히어로즈,10871,0.0,8.0,0.0,7.2,0.0,1.0,0.0,100.0,1.17,0.0,0.0,18000,-0.62,-28892,삼성 라이온즈
변시원,투수,4,4,0,0,0,0,0,0,0,11,11,8.25,19,6,2,0,1,4,2,0,2,0,0,0,42.43,42.43,14.78,4.29,키움 히어로즈,10882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,-0.14,-28982,키움 히어로즈
윤명준,투수,21,21,8,0,0,0,1,0,5,14,14,21.95,98,31,3,1,4,10,4,2,11,0,0,5,6.52,6.52,7.13,2.12,롯데 자이언츠,10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000,-0.65,-9233,롯데 자이언츠
임기영,투수,64,64,9,0,0,4,4,3,16,27,29,30.95,324,56,8,3,6,19,6,1,57,2,0,1,2.96,3.18,3.93,0.91,KIA 타이거즈,10909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000,1.54,9740,KIA 타이거즈
박준표,투수,33,33,3,0,0,1,0,0,3,14,16,17.35,118,28,3,1,3,9,0,1,13,2,0,1,4.5,5.14,4.96,1.32,KIA 타이거즈,11070,0.0,33.0,0.0,28.0,0.0,5.0,0.0,100.0,1.61,0.0,0.0,10500,0.01,947158,KIA 타이거즈
함덕주,투수,57,57,9,0,0,4,0,4,16,10,12,13.0,222,32,9,1,1,22,2,1,59,3,0,0,1.62,1.94,2.69,0.97,LG 트윈스,11094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,2.35,4250,LG 트윈스
윤대경,투수,47,47,10,0,0,5,1,0,2,13,18,15.95,199,36,9,1,4,19,6,0,28,2,0,2,2.45,3.4,5.01,1.15,한화 이글스,11110,0.0,47.0,0.0,47.2,1.0,6.0,0.0,100.0,1.32,0.0,0.0,9000,1.08,8310,한화 이글스
이충호,투수,11,11,2,0,0,0,0,0,0,9,9,8.65,41,12,0,0,2,5,1,0,7,0,0,0,9.35,9.35,6.72,1.96,한화 이글스,11116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200,-0.1,-32240,한화 이글스
노건우,투수,16,16,1,0,0,0,1,0,1,10,11,12.65,65,22,3,0,3,5,1,0,12,1,0,1,7.3,8.03,5.82,2.19,삼성 라이온즈,11144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800,-0.18,-27227,삼성 라이온즈
이형범,투수,23,23,4,0,0,1,0,0,1,20,23,28.8,134,40,10,0,2,12,3,0,13,2,0,2,6.51,7.48,4.79,1.88,두산 베어스,11159,0.0,23.0,0.0,27.2,2.0,1.0,2.0,60.0,0.98,0.0,0.0,7000,-0.62,-11363,두산 베어스
원종현,투수,20,20,1,0,0,1,1,0,6,12,16,13.75,87,24,8,1,3,5,1,1,17,2,0,2,5.79,7.71,4.32,1.55,키움 히어로즈,11161,0.0,20.0,0.0,18.2,2.0,2.0,0.0,100.0,1.93,0.0,0.0,50000,-0.17,-301827,키움 히어로즈
장현식,투수,56,56,17,0,0,2,2,3,5,23,26,26.45,226,58,8,0,6,26,1,1,44,1,0,1,4.06,4.59,4.67,1.65,KIA 타이거즈,11164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19000,0.25,76665,KIA 타이거즈
김진성,투수,80,80,14,0,0,5,1,4,21,17,17,22.95,270,41,5,1,8,26,0,0,69,1,0,0,2.18,2.18,3.9,0.95,LG 트윈스,11166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000,2.03,9842,LG 트윈스
임정호,투수,65,65,7,0,0,4,4,0,15,26,30,27.6,216,51,9,1,3,17,4,0,49,6,1,4,4.68,5.4,3.42,1.36,NC 다이노스,11168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,0.18,49071,NC 다이노스
이상민,투수,23,23,4,0,0,2,1,0,1,17,17,15.3,83,32,3,1,2,3,0,0,17,0,0,0,8.5,8.5,3.33,1.94,삼성 라이온즈,11169,0.0,23.0,0.0,18.0,1.0,2.0,0.0,100.0,1.5,0.0,0.0,7500,-0.2,-37130,삼성 라이온즈
윤호솔,투수,4,4,1,0,0,0,0,0,0,1,1,1.5,17,3,1,0,0,3,0,0,4,0,0,0,2.45,2.45,3.66,1.64,LG 트윈스,11170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8700,0.04,248452,LG 트윈스
하영민,투수,57,57,7,0,0,3,1,0,5,27,36,38.4,247,67,8,4,4,25,1,3,51,6,0,6,4.64,6.19,3.86,1.76,키움 히어로즈,11222,0.0,57.0,0.0,52.1,1.0,11.0,3.0,80.0,2.06,0.0,0.0,6500,-0.44,-14749,키움 히어로즈
이인복,투수,10,3,0,0,0,1,4,0,0,24,32,30.65,168,54,7,3,3,10,5,1,15,6,0,4,6.48,8.64,5.1,1.92,롯데 자이언츠,11232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14500,-0.27,-53772,롯데 자이언츠
박민호,투수,10,10,1,0,0,0,0,0,0,1,3,3.0,47,14,1,0,0,1,2,0,4,1,0,0,0.9,2.7,3.78,1.5,SSG 랜더스,11236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9500,0.24,39923,SSG 랜더스
이건욱,투수,27,26,10,0,0,1,0,0,0,9,13,16.7,169,31,7,0,0,25,2,2,31,2,0,2,2.09,3.03,4.01,1.45,SSG 랜더스,11242,0.0,27.0,1.0,38.2,1.0,5.0,1.0,85.7,1.4,0.0,0.0,3100,0.6,5130,SSG 랜더스
최영환,투수,8,8,4,0,0,0,1,0,0,11,14,13.65,54,15,8,0,0,7,1,0,7,3,0,0,9.9,12.6,4.58,2.2,롯데 자이언츠,11276,0.0,8.0,0.0,10.0,1.0,3.0,0.0,100.0,3.6,0.0,0.0,4000,-0.28,-14162,롯데 자이언츠
조이현,투수,18,14,4,0,0,2,1,0,1,26,27,31.95,170,61,14,1,3,6,2,0,17,1,1,1,6.69,6.94,4.36,1.91,KT 위즈,11284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500,-0.29,-22442,KT 위즈
구승민,투수,67,67,8,0,0,2,6,3,22,28,32,32.85,289,65,8,0,4,29,5,0,66,2,0,2,3.96,4.52,3.66,1.48,롯데 자이언츠,11291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24860,0.9,27634,롯데 자이언츠
문경찬,투수,2,2,1,0,0,0,1,0,0,6,6,6.0,12,6,0,0,3,0,0,0,2,0,0,0,27.0,27.0,19.2,3.0,롯데 자이언츠,11299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7200,-0.19,-37857,롯데 자이언츠
박정수,투수,25,25,11,0,0,1,0,1,0,17,22,22.7,165,37,12,0,1,18,6,1,28,1,0,2,4.17,5.4,4.21,1.5,두산 베어스,11300,0.0,25.0,0.0,36.2,2.0,7.0,0.0,100.0,2.21,0.0,0.0,4500,0.05,99144,두산 베어스
이준영,투수,64,64,4,0,0,1,0,0,10,12,12,12.65,149,26,3,1,0,23,2,2,30,3,0,1,3.21,3.21,3.74,1.46,KIA 타이거즈,11303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000,0.68,20735,KIA 타이거즈
고영표,투수,28,1,1,0,0,12,7,0,0,54,57,57.35,706,181,27,5,7,19,9,1,114,6,0,6,2.78,2.94,3.19,1.15,KT 위즈,11308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43000,5.91,7279,KT 위즈
박세웅,투수,27,0,0,0,0,9,7,0,0,59,70,67.25,657,145,24,0,8,59,4,1,129,9,0,10,3.45,4.09,3.62,1.32,롯데 자이언츠,11310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000,4.63,32381,롯데 자이언츠
심재민,투수,29,23,6,1,0,3,1,0,6,15,18,19.8,202,49,5,0,2,16,1,1,28,4,0,1,2.96,3.55,3.92,1.42,롯데 자이언츠,11311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8300,1.03,8054,롯데 자이언츠
심재민,투수,4,4,1,0,0,0,0,0,0,5,5,3.4,16,8,1,0,0,2,0,0,1,0,0,0,22.5,22.5,5.7,5.0,KT 위즈,11311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8300,1.03,8054,롯데 자이언츠
조현우,투수,5,5,1,0,0,0,0,0,0,2,2,2.0,17,6,1,0,0,2,0,0,1,0,0,1,6.0,6.0,5.08,2.67,KT 위즈,11316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7600,0.01,993178,KT 위즈
